1256800540054; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CT FR VD AMB X 150ML (EQ A 50 MG/ML APOS REC); PZ8
1256800540062; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CT 50 FR VD AMB X 150ML (EQ A 50 MG/ML APOS REC); PZ8
1256800540046; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5 ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); PZ8
1256800540038; PRATICILIN; PRATICILIN; NOT FOUND; 250MG/5ML PO SUS OR CT FR VD AMB X 60ML; PZ8
1256800540100; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CX 50 FR PLAS AMB X 60 ML  (EMB HOSP); PZ8
1256800540119; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CX 50 FR PLAS AMB X 150 ML (EMB HOSP); PZ8
1256800540089; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CT FR PLAS AMB X 60 ML; PZ8
1256800540097; PRATICILIN; PRATICILIN; NOT FOUND; 250 MG/5ML PO SUS OR CT FR PLAS AMB X 150 ML; PZ8
1256800540021; PRATICILIN; PRATICILIN; NOT FOUND; 500 MG CAP GEL DURA CT 25 BL AL PLAS INC X 12; PZ8
1256800540011; PRATICILIN; PRATICILIN; NOT FOUND; 500MG CAP GEL DURA CT BL AL PLAS INC X 12; PZ8
1256800010055; PRATICILIN; PRATICILIN; NOT FOUND; 250MG/G CAP CT BL X 12; PZ8
1256800540127; PRATICILIN; PRATICILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; PZ8
1256800540135; PRATICILIN; PRATICILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 24; PZ8
1256800540143; PRATICILIN; PRATICILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
1256800100011; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 80ML; PZ8
1256800100021; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40MG/ML SUS OR CX 50 FR VD AMB X 80 ML (EMB HOSP); PZ8
1256800100038; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CT FR PLAS AMB X 80 ML; PZ8
1256800100046; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CX 50 FR PLAS AMB X 80 ML (EMB HOSP); PZ8
1256800100100; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML (EMB. HOSP.); PZ8
1256800100089; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CX 50 FR PLAS OPC X 80 ML (EMB. HOSP.)  ; PZ8
1256800100062; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 40 MG/ML SUS OR CX 50 FR VD AMB X 100 ML (EMB. HOSP.)  ; PZ8
1256800140013; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250MG COM CT BL AL PLAS INC X 20; PZ8
1256800140031; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250 MG COM CT 30 BL AL PLAS INC X 10 (EMB HOSP); PZ8
1256800140048; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250 MG COM CT BL AL/PLAS INC X 500 (EMB HOSP); PZ8
1256800140056; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250 MG COM REV CT BL AL PVC LEITOSO X 20 ; PZ8
1256800140064; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250 MG COM REV CT BL AL PVC LEITOSO X 300 (EMB HOSP); PZ8
1256800140072; POLIBIOTIC; POLIBIOTIC; NOT FOUND; 250 MG COM REV CT BL AL PVC LEITOSO X 500 (EMB HOSP); PZ8
