1010005340066; BEROCCAL ZINCO, CÁLCIO E MAGNÉSIO; BEROCCAL ZINCO CALCIO E MAGNESIO; NOT FOUND; COMP EFV LAR S/ACUCAR TB X 10; ROC
1010005340041; BEROCCAL ZINCO, CÁLCIO E MAGNÉSIO; BEROCCAL ZINCO CALCIO E MAGNESIO; NOT FOUND; COMP LAQ CT 3 BL X 10; ROC
1010000110062; BENERVA; BENERVA; NOT FOUND; 300 MG COM VER BL C/30; ROC
1010000130071; BEPANTOL; BEPANTOL; NOT FOUND; SOL.FR C/ 50 ML; ROC
1010000130039; BEPANTOL; BEPANTOL; NOT FOUND; POMADA CX C/ BG C/ 30G; ROC
1010006460057; BONVIVA; BONVIVA; NOT FOUND; 3 MG SOL INJ CT 1 SER PREENC VD TRANS X 3 ML ; ROC
1010006460014; BONVIVA; BONVIVA; NOT FOUND; 150 MG COM REV CT BL AL/AL X 1 ; ROC
1010006460022; BONVIVA; BONVIVA; NOT FOUND; 150 MG COM REV CT BL ALU/ALU X 2; ROC
1010006460030; BONVIVA; BONVIVA; NOT FOUND; 150 MG COM REV CT BL ALU/ALU X 3; ROC
1010006460049; BONVIVA; BONVIVA; NOT FOUND; 150 MG COM REV CT BL ALU/ALU X 12; ROC
1010005340023; BEROCCAL CÁLCIO E MAGNÉSIO; BEROCCAL CALCIO E MAGNESIO; NOT FOUND; COMP EFV LAR S/ACUCAR TB X 10; ROC
