1004703730078; ZIMICINA; ZIMICINA; NOT FOUND; 600 MG/G PO SUS OR CT FR VD AMB X (6.48) + DIL (10.61); SDZ
1004703730086; ZIMICINA; ZIMICINA; NOT FOUND; 900 MG/G PO SUS OR CT FR VD AMB X (8.86) + DIL (15.66); SDZ
1004703730043; ZIMICINA; ZIMICINA; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 2 ; SDZ
1004703730035; ZIMICINA; ZIMICINA; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3 ; SDZ
1004703730175; ZIMICINA; ZIMICINA; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 5; SDZ
1004704870019; ZILEDON; ZILEDON; NOT FOUND; 5 MG COM REV CT BL AL AL X 10; SDZ
1004704870035; ZILEDON; ZILEDON; NOT FOUND; 5 MG COM REV CT BL AL AL X 30; SDZ
1004704870078; ZILEDON; ZILEDON; NOT FOUND; 10 MG COM REV CT BL AL AL X 30; SDZ
1004704870027; ZILEDON; ZILEDON; NOT FOUND; 10 MG COM REV CT BL AL AL X 10; SDZ
1004705060207; ZOPINA; ZOPINA; NOT FOUND; 10 MG COM REV CT FR PLAS OPC X 10; SDZ
1004705060241; ZOPINA; ZOPINA; NOT FOUND; 10 MG COM REV CT FR PLAS OPC X 30; SDZ
1004705060118; ZOPINA; ZOPINA; NOT FOUND; 5.0 MG COM REV CT FR PLAS OPC X 10; SDZ
1004705060150; ZOPINA; ZOPINA; NOT FOUND; 5.0 MG COM REV CT FR PLAS OPC X 30; SDZ
