1071401090013; METROVAL; METROVAL; NOT FOUND; 4% SUSP. ORAL CT FR VD AMB X 100 ML; SNV
1071401090056; METROVAL; METROVAL; NOT FOUND; 40 MG/ML SUS OR CT 50 FR VD AMB X 100 ML (EMB HOSP); SNV
1071401090064; METROVAL; METROVAL; NOT FOUND; GEL VAG CT BINS AL X 50 G + APLIC; SNV
1071401090025; METROVAL; METROVAL; NOT FOUND; 250 MG COMP CT 02 BL AL PLAS INC X 10; SNV
1071401090072; METROVAL; METROVAL; NOT FOUND; 250 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); SNV
1071400290027; MEDROXON; MEDROXON; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10; SNV
1071401570015; METOCLOSAN; METOCLOSAN; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC X 10 ML; SNV
1071401570023; METOCLOSAN; METOCLOSAN; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 10; SNV
1071402320012; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GELE VAG CT BG AL X 50 G + 10 APLIC  ; SNV
1071400020026; MICOTIN; MICOTIN; NOT FOUND; SOL TOP CT FR X 20 ML; SNV
1071400020018; MICOTIN; MICOTIN; NOT FOUND; CREM DERM CT BINS AL X 20G; SNV
