1130011150029; HAVANTE; HAVANTE; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 2; S_A
1130011150134; HAVANTE; HAVANTE; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 2; S_A
1130011150061; HAVANTE; HAVANTE; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 1; S_A
1130011150071; HAVANTE; HAVANTE; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 2; S_A
1130011150088; HAVANTE; HAVANTE; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 4; S_A
1130011150096; HAVANTE; HAVANTE; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 8; S_A
1130000760025; HEXOMEDINE; HEXOMEDINE; NOT FOUND; 1.0 MG/ML + 0.5 MG/ML COLUT CT FR VD INC SPR X 50 ML; S_A
1130000760017; HEXOMEDINE; HEXOMEDINE; NOT FOUND; 1.0 MG/ML + 0.5 MG/ML COLUT CT FR PLAS OPC SPR X 30 ML; S_A
1192400450014; HYPAQUE; HYPAQUE; NOT FOUND; 50% SOL INJ CT FA VD INC X 20 ML; S_A
1192400450198; HYPAQUE; HYPAQUE; NOT FOUND; 60% SOL INJ CT FA VD INC X 100 ML; S_A
1192400450081; HYPAQUE; HYPAQUE; NOT FOUND; 60% SOL INJ CT FA VD INC X 30 ML; S_A
1192400450091; HYPAQUE; HYPAQUE; NOT FOUND; 60% SOL INJ CT FA VD INC X 50 ML; S_A
1192400450049; HYPAQUE; HYPAQUE; NOT FOUND; 75% SOL INJ CT FA VD INC X 20 ML; S_A
1192400450181; HYPAQUE; HYPAQUE; NOT FOUND; 76% SOL INJ CT 10 FA VD INC X 20 ML; S_A
1192400450073; HYPAQUE; HYPAQUE; NOT FOUND; 76% SOL INJ CT FA VD INC X 100 ML; S_A
1192400450065; HYPAQUE; HYPAQUE; NOT FOUND; 76% SOL INJ CT FA VD INC X 50 ML; S_A
1130002330044; HIDANTAL; HIDANTAL; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP VD INC X 5 ML; S_A
1130002330011; HIDANTAL; HIDANTAL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 25; S_A
1130000470035; HALOTANO; HALOTANO; HALOTANO; 1 ML/ML INAL CT FR VD AMB X 250 ML; S_A
1130010260092; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 30; S_A
1130010260033; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL PAPEL PLAS INC X 30; S_A
1130010260041; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 20 ; S_A
1130002190021; HEMOGENIN; HEMOGENIN; NOT FOUND; 50 MG COM CT BL AL PLAS AMB X 10; S_A
1130000460021; HAEMACCEL; HAEMACCEL; NOT FOUND; 35 MG/ML SOL INJ CT 10 FR PLAS TRANS INF X 500 ML + EQUIP (REST. HOSP.); S_A
