1130000020226; LOPROX NL; LOPROX NL; NOT FOUND; 80 MG/G ESMALT UNHA EST CART FR VD INC C/ PINCEL X 3 G + 30 LENCOS ALC ISOP + 14 LIXAS; S_A
1130000020250; LOPROX NL; LOPROX NL; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS TRANSP GOT X 15 ML; S_A
1130000020242; LOPROX; LOPROX; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; S_A
1130010390034; LADOGAL; LADOGAL; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 30; S_A
1130010390026; LADOGAL; LADOGAL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 50; S_A
1130010390018; LADOGAL; LADOGAL; NOT FOUND; 50 MG CAP GEL DURA CT 5 BL AL PLAS INC X 10; S_A
1192400510065; LADOGAL; LADOGAL; NOT FOUND; 100 MG CAP GEL DURA CT 5 BL AL PLAS INC X 10; S_A
1192400510073; LADOGAL; LADOGAL; NOT FOUND; 200 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10; S_A
1192400510057; LADOGAL; LADOGAL; NOT FOUND; 50 MG CAP GEL DURA CT 5 BL AL PLAS INC X 10; S_A
1130000510037; LASILACTONA; LASILACTONA; NOT FOUND; 100 MG + 20 MG CAP GEL DURA CT STR AL X 30; S_A
1130000510045; LASILACTONA; LASILACTONA; NOT FOUND; 100 MG + 20 MG CAP GEL DURA CT BL AL/PLAS INC X 30; S_A
1130000520059; LASIX; LASIX; NOT FOUND; 10 MG/ML SOL INJ CT BL 5 AMP VD AMB X 2 ML; S_A
1130000520024; LASIX; LASIX; NOT FOUND; 40 MG COM CT BL AL PLAS VDE X 20 ; S_A
1130000520091; LASIX LONG; LASIX LONG; NOT FOUND; 60 MG CAP CT 3 BL AL PLAS VDE X 10; S_A
1160900070010; LYMPHOGLOBULINE - IMUNOGLOBOLINA EQUINA ANTI-TIMÓCITO HUMANOS; LYMPHOGLOBULINE IMUNOGLOBOLINA EQUINA ANTI TIMOCITO HUMANOS; NOT FOUND; CX. COM 1 FR DE 5 ML CONTENDO 100 MG DE IMUNOGLOBU; S_A
1130002850013; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML ; S_A
1130002850064; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML; S_A
1130002850031; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 1 FA VD INC X 10 ML; S_A
1130002850080; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SITEMA APLIC PLAS; S_A
1130002850110; LANTUS; LANTUS; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML + 5 SISTEMAS APLIC PLAS; S_A
1130002850242; LANTUS SOLOSTAR; LANTUS SOLOSTAR; NOT FOUND; 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML  + 1 SISTEMA APLIC PLAS; S_A
1130011430013; LYXUMIA; LYXUMIA; NOT FOUND; 0.05 MG/ML SOL INJ CT 1 CAR VD INC X 3 ML + 1 CAN APLIC; S_A
1130011430021; LYXUMIA; LYXUMIA; NOT FOUND; 0.1 MG/ML SOL INJ CT 1 CAR VD INC X 3 ML + 1 CAN APLIC; S_A
1130011430031; LYXUMIA; LYXUMIA; NOT FOUND; 0.1 MG/ML SOL INJ CT 2 CAR VD INC X 3 ML + 2 CAN APLIC; S_A
1130011430048; LYXUMIA; LYXUMIA; NOT FOUND; 0.1 MG/ML SOL INJ CT 6 CAR VD INC X 3 ML + 6 CAN APLIC; S_A
1130011430056; LYXUMIA; LYXUMIA; NOT FOUND; 0.05 MG/ML + 0.1 MG/ML SOL INJ CT 2 CAR VD INC X 3 ML + 2 CAN APLIC; S_A
