1063901120484; RIOPAN PLUS; RIOPAN PLUS; NOT FOUND; 80 MG/ML + 10 MG/ML SUS OR CT FR PLAS OPC X 240 ML (SABOR MENTA); TAK
1063901120476; RIOPAN PLUS; RIOPAN PLUS; NOT FOUND; 80 MG/ML SUS OR CT FR PLAS OPC X 240 ML (SABOR MENTA); TAK
1063901120034; RIOPAN PLUS; RIOPAN PLUS; NOT FOUND; 800 MG COMP CX C/ 20; TAK
1063901120506; RIOPAN PLUS; RIOPAN PLUS; NOT FOUND; 800 MG + 100 MG COM MAST CT BL AL PLAS INC X 20  (SABOR MENTA); TAK
1063900520017; REPARIL; REPARIL; NOT FOUND; INJ CX C/ 3 AMP DE ESCINA + DILUENTE; TAK
1063900520195; REPARIL; REPARIL; NOT FOUND; 10 MG/G + 50 MG/G GEL CT BG AL X 100 G ; TAK
1063900520111; REPARIL; REPARIL; NOT FOUND; SPRAY FR C/ 50 ML; TAK
1063900520187; REPARIL; REPARIL; NOT FOUND; 10 MG/G + 50 MG/G GEL CT BG AL X 30 G; TAK
1063900520039; REPARIL; REPARIL; NOT FOUND; GEL BISN C/ 100 G; TAK
1063900520047; REPARIL; REPARIL; NOT FOUND; GEL BISN C/ 30 G; TAK
1063900520026; REPARIL; REPARIL; NOT FOUND; DRG CX C/ 30; TAK
