1037004620091; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED; TTB
1037004620131; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED; TTB
1037004620059; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120ML ; TTB
1037004620016; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120ML ; TTB
1037004790019; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G; TTB
1037004790043; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP); TTB
1037004790035; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP); TTB
1037005270086; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); TTB
1037005270019; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG AL X 15 G ; TTB
1037005270078; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG AL X 30 G ; TTB
1037005800034; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20MG/ML XPE CT FR VD AMB X 120ML + COP MED ; TTB
1037005800131; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + COP MED ; TTB
1037004860025; ACICLOVIR; ACICLOVIR; ACICLOVIR; 250 MG PO LIOF P/ SOL INJ IV CT 5 FA VD INC X 20 ML (EMB HOSP) ; TTB
1037004860041; ACICLOVIR; ACICLOVIR; ACICLOVIR; 250 MG PO LIOF P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP); TTB
1037006100036; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CR DERM CT BG AL X 10 G; TTB
1037006100011; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; TTB
1037006100044; ACICLOVIR; ACICLOVIR; ACICLOVIR; 250 MG PO LIOF SOL INJ IV CX 50 FA VD AMB X 20 ML (EMB HOSP); TTB
1037003130031; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CX 50 FR VD AMB X 10 ML (EMB. HOSP.); TTB
1037003130015; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; TTB
1037000790049; ALBENTEL; ALBENTEL; NOT FOUND; SUSP ORAL CX C/ 200 FR X 10ML; TTB
1037000790034; ALBENTEL; ALBENTEL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; TTB
1037004920011; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 1 ; TTB
1037000790018; ALBENTEL; ALBENTEL; NOT FOUND; COMP 200MG CX C/ 2; TTB
1037007900000; ALBENTEL; ALBENTEL; NOT FOUND; 400 MG COM MAST CT BL AL PLAS INC X 1 ; TTB
1037007900000; ALBENTEL; ALBENTEL; NOT FOUND; 400 MG COM MAST CT BL AL PLAS INC X 5; TTB
1037000790057; ALBENTEL; ALBENTEL; NOT FOUND; 400 MG COM MAST CT BL AL PLAS TRANS X 1 ; TTB
1037006040025; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 4; TTB
1037005450149; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS INC X 30; TTB
1037005450092; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; TTB
1037005450025; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 30; TTB
1037002350011; AMICACIL; AMICACIL; NOT FOUND; SOL INJ 100MG/2ML CX C/01 AMP; TTB
1037002350038; AMICACIL; AMICACIL; NOT FOUND; SOL INJ 250MG/2ML CX C/01 AMP; TTB
