1049712010023; PROSTMAN; PROSTMAN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; U_Q
1049712120015; PREDI-MEDROL; PREDI MEDROL; NOT FOUND; 40 MG / ML SUS INJ CT FA VD INC X 2 ML; U_Q
1049701870018; POLIDERMS; POLIDERMS; NOT FOUND; (0.5+1+10+10) MG/G CREM DERM CT BG AL X 20 G; U_Q
1049701900022; PROPARK; PROPARK; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML; U_Q
1049701900014; PROPARK; PROPARK; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 75; U_Q
1049713670019; PERFENOL; PERFENOL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; U_Q
1049713670051; PERFENOL; PERFENOL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS TRANS X 200 (EMB MULT); U_Q
1049711780011; PAXTRAT; PAXTRAT; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; U_Q
1049711780021; PAXTRAT; PAXTRAT; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; U_Q
1049711770016; PROHAIR; PROHAIR; NOT FOUND; 1 MG COM REV CT BL AL PLAS TRANS X 30; U_Q
1049712160017; PILEM; PILEM; NOT FOUND; 0.75 MG CT BL AL PLAS INC X 2; U_Q
1049712160017; PILEM; PILEM; NOT FOUND; 0.75 MG CT BL AL PLAS INC X 2 ; U_Q
1049702800013; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; U_Q
1049702810019; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20 ; U_Q
1049702810027; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 200; U_Q
1049702030021; PREDNISON; PREDNISON; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 20; U_Q
1049702030013; PREDNISON; PREDNISON; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; U_Q
1049713360011; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; U_Q
1049713360028; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20; U_Q
1049713360036; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
1049713360044; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 10; U_Q
1049713360052; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; U_Q
1049713360060; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
1049713360095; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 240 (EMB FRAC); U_Q
1049713360087; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 120 (EMB FRAC); U_Q
1049713360079; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); U_Q
1049713360125; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 240 (EMB FRAC); U_Q
1049713360117; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 120 (EMB FRAC); U_Q
1049713360109; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); U_Q
