1032900820029; NASOVITA; NASOVITA; NOT FOUND; CX C/ 01 FR PLASTICO 10ML INFANTIL; VAP
1039200820010; NASOVITA; NASOVITA; NOT FOUND; 1 MG/ML SOL NAS CT FR PLAS OPC GT X 10 ML; VAP
1039200730070; NIMELIT; NIMELIT; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; VAP
1039200730054; NIMELIT; NIMELIT; NOT FOUND; 50 MG/ML SUS OR CT 50 FR PLAS OPC GOT X 15 ML; VAP
1039201750016; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR GOT PLAS OPC X 15 ML; VAP
1039201750024; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CX 50 FR GOT PLAS OPC X 15 ML (EMB HOSP); VAP
1039200730011; NIMELIT; NIMELIT; NOT FOUND; CX C/ 01 BL C/ 12 COMP; VAP
1039200730089; NIMELIT; NIMELIT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 504; VAP
1039200730046; NIMELIT; NIMELIT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; VAP
1039201740010; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 12; VAP
1039201740029; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 492 (EMB HOSP); VAP
1039201740037; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 504 (EMB HOSP); VAP
1039200680057; NISTAGEN; NISTAGEN; NOT FOUND; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML + CONTA GOTAS; VAP
1039200680014; NISTAGEN; NISTAGEN; NOT FOUND; 25.000 UI/G CR VAG CT BG AL X 60 G + APLICADORES; VAP
1039200680022; NISTAGEN; NISTAGEN; NOT FOUND; 25.000 UI/G CR VAG CT 50 BG AL X 60 G + APLIC (EMB HOSP); VAP
1039200580011; NORFLOXAN; NORFLOXAN; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 14 ; VAP
1039200580036; NORFLOXAN; NORFLOXAN; NOT FOUND; 400 MG COM CT 35  BL AL PLAS INC X 14 (EMB. HOSP.); VAP
