1008401400044; SEKI; SEKI; NOT FOUND; 35.4 MG/ML SUS OR CT FR VD AMB X 15 ML; ZAM
1008401400025; SEKI; SEKI; NOT FOUND; 3.54 MG/ML XPE CT FR VD AMB X 120 ML + COL; ZAM
1008401400043; SEKI; SEKI; NOT FOUND; 3.54 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; ZAM
1008401400051; SEKI; SEKI; NOT FOUND; 35.4 MG/ML SUS OR CT FR VD AMB X 15 ML + GOT; ZAM
1008401480071; SPIDUFEN; SPIDUFEN; NOT FOUND; 400MG GRAN 100 ENV X 3G; ZAM
1008401480098; SPIDUFEN; SPIDUFEN; NOT FOUND; 770 MG GRAN CT 20 ENV AL PE X 3 G (SBR DAMASCO); ZAM
1008401480081; SPIDUFEN; SPIDUFEN; NOT FOUND; 770 MG GRAN CT 6 ENV AL PE X 3 G (SBR DAMASCO); ZAM
1008401480063; SPIDUFEN; SPIDUFEN; NOT FOUND; 1155 MG GRAN CT 10 ENV AL PE X 3 G (SBR DAMASCO); ZAM
1008401480101; SPIDUFEN; SPIDUFEN; NOT FOUND; 200MG/ML FR VD CGT X 18ML GOTAS; ZAM
1008401480233; SPIDUFEN; SPIDUFEN; NOT FOUND; 770 MG GRAN CT 10 ENV AL PE X 3 G (SBR MENTA + ANIS); ZAM
1008401480268; SPIDUFEN; SPIDUFEN; NOT FOUND; 1155 MG GRAN CT 10 ENV AL PE X 3 G (SBR MENTA + ANIS); ZAM
1008401480322; SPIDUFEN; SPIDUFEN; NOT FOUND; 770 MG COM REV CT BL AL AL X 12; ZAM
