268097; TACROLIMO; TACROLIMO; TACROLIMO; 5 MG; NO_ACR; AMPOLA; 1.00 ML
268097; TACROLIMO; TACROLIMO; TACROLIMO; 5 MG; NO_ACR; AMPOLA; 1.00 ML
268098; TACROLIMO; TACROLIMO; TACROLIMO; 1 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 2.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
268534; TRAMADOL CLORIDRATO; TRAMADOL CLORIDRATO; NOT FOUND; 50 MG; NO_ACR; AMPOLA; 1.00 ML
269818; TERBUTALINA SULFATO; TERBUTALINA SULFATO; NOT FOUND; 0.5 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 1.00 ML
269818; TERBUTALINA SULFATO; TERBUTALINA SULFATO; NOT FOUND; 0.5 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 1.00 ML
269818; TERBUTALINA SULFATO; TERBUTALINA SULFATO; NOT FOUND; 0.5 MG/ML. INJETAVEL; NO_ACR; AMPOLA; 1.00 ML
