71888; FACTIVE ; FACTIVE; NOT FOUND; CPR REVEST 320 MG x 5; A4H
71889; FACTIVE ; FACTIVE; NOT FOUND; CPR REVEST 320 MG x 7; A4H
47329; FAMOX ; FAMOX; NOT FOUND; CPR 20 MG x 10; A4H
47331; FAMOX ; FAMOX; NOT FOUND; CPR 40 MG x 10; A4H
86662; FEMINA ; FEMINA; NOT FOUND; CPR 150 Y x 63 (/20); A4H
63713; FEMINA ; FEMINA; NOT FOUND; CPR REVEST x 21; A4H
54663; FEMME ; FEMME; NOT FOUND; CPR REV C/FL x 30; A4H
54662; FEMME ; FEMME; NOT FOUND; CPR REVEST x 30; A4H
83717; FEMME FOLICO ; FEMME FOLICO; NOT FOUND; CPR REVEST 5 MG x 30; A4H
77721; FENTIZOL DERMA ; FENTIZOL DERMA; NOT FOUND; CREME 2 % 20 G x 1; A4H
70164; FENTIZOL DERMA ; FENTIZOL DERMA; NOT FOUND; CREME 2 % 30 G x 1; A4H
76529; FENTIZOL DERMA ; FENTIZOL DERMA; NOT FOUND; SPRAY 20 MG 30 ML x 1 (/ML); A4H
55448; FENTIZOL GOB ; FENTIZOL GOB; NOT FOUND; CR.VAG.7 APL 2 % 40 G x 1; A4H
55449; FENTIZOL GOB ; FENTIZOL GOB; NOT FOUND; OVULOS APLIC 600 MG x 1; A4H
53713; FILGRASTIMA ; FILGRASTIMA; NOT FOUND; F.AMP 300 Y 1 ML x 5; A4H
65060; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 1 MG x 30; A4H
66829; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 5 MG x 30; A4H
78945; FISIOTON ; FISIOTON; NOT FOUND; CPR REVEST 400 MG x 20; A4H
78946; FISIOTON ; FISIOTON; NOT FOUND; CPR REVEST 400 MG x 30; A4H
78947; FISIOTON ; FISIOTON; NOT FOUND; CPR REVEST 400 MG x 60; A4H
103010; FLAGASS ; FLAGASS; NOT FOUND; CAPS 125 MG x 10; A4H
56296; FLAGASS ; FLAGASS; NOT FOUND; CPR 40 MG x 20; A4H
56297; FLAGASS ; FLAGASS; NOT FOUND; GOTAS 75 MG 10 ML x 1 (/ML); A4H
56298; FLAGASS BABY ; FLAGASS BABY; NOT FOUND; GOTAS 80 MG 15 ML x 1 (/ML); A4H
49876; FLOGENE ; FLOGENE; NOT FOUND; CAPS 20 MG x 10; A4H
52495; FLOGENE ; FLOGENE; NOT FOUND; GOTAS 10 MG 20 ML x 1 (/ML); A4H
30652; FLOGO ROSA ; FLOGO ROSA; NOT FOUND; LIQD 100 ML x 1; A4H
30653; FLOGO ROSA ; FLOGO ROSA; NOT FOUND; POLVO ENVELO 0.50 G 9.40 G x 10; A4H
59715; FLOGORAL ; FLOGORAL; NOT FOUND; COLUT CEREJA 0.15 % 250 ML x 1; A4H
59716; FLOGORAL ; FLOGORAL; NOT FOUND; COLUT LARANJ 0.15 % 250 ML x 1; A4H
56299; FLOGORAL ; FLOGORAL; NOT FOUND; COLUT LARANJ 150 ML x 1; A4H
59717; FLOGORAL ; FLOGORAL; NOT FOUND; COLUT LIMAO 0.15 % 250 ML x 1; A4H
29328; FLOGORAL ; FLOGORAL; NOT FOUND; COLUT MENTA 0.15 % 150 ML x 1; A4H
59718; FLOGORAL ; FLOGORAL; NOT FOUND; COLUT MENTA 0.15 % 250 ML x 1; A4H
48554; FLOGORAL ; FLOGORAL; NOT FOUND; CREME DENTAL 70 G x 1; A4H
