9432; SELVIGON ; SELVIGON; NOT FOUND; GOTAS 40 MG 10 ML x 1 (/ML); A4H
9434; SELVIGON ; SELVIGON; NOT FOUND; XAROPE 10 MG 100 ML x 1 (/5ML); A4H
94559; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS 125 MG x 10; A4H
73781; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; A4H
73780; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 10 ML x 1 (/ML); A4H
56769; SINERGEN ; SINERGEN; NOT FOUND; CAPS 2.50 MG x 30 (/10); A4H
56770; SINERGEN ; SINERGEN; NOT FOUND; CAPS 5 MG x 30 (/10); A4H
59118; SINERGEN ; SINERGEN; NOT FOUND; CAPS 5 MG x 30 (/20); A4H
77144; SINTOCALMY ; SINTOCALMY; NOT FOUND; CPR REVEST 300 MG x 10; A4H
77145; SINTOCALMY ; SINTOCALMY; NOT FOUND; CPR REVEST 300 MG x 20; A4H
85767; SINTOCALMY ; SINTOCALMY; NOT FOUND; CPR REVEST 300 MG x 40; A4H
102185; SINTOCALMY ; SINTOCALMY; NOT FOUND; CPR REVEST 600 MG x 30; A4H
147808; SINTOCALMY ; SINTOCALMY; NOT FOUND; GOTAS 150 MG 30 ML x 1 (/ML); A4H
147810; SINTOCALMY ; SINTOCALMY; NOT FOUND; SOL ORAL 150 MG 150 ML x 1 (/5ML); A4H
147809; SINTOCALMY ; SINTOCALMY; NOT FOUND; SOL ORAL 150 MG 50 ML x 1 (/5ML); A4H
71093; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; A4H
71094; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; A4H
71091; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 10; A4H
71095; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; A4H
71092; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; A4H
47717; SOMALIUM ; SOMALIUM; NOT FOUND; CPR 3 MG x 20; A4H
75366; SOMALIUM ; SOMALIUM; NOT FOUND; CPR 3 MG x 30; A4H
47718; SOMALIUM ; SOMALIUM; NOT FOUND; CPR 6 MG x 20; A4H
75367; SOMALIUM ; SOMALIUM; NOT FOUND; CPR 6 MG x 30; A4H
64232; SOMALIUM ; SOMALIUM; NOT FOUND; GOTAS 2.50 MG 20 ML x 1 (/ML); A4H
9666; SORINE ; SORINE; NOT FOUND; GOTAS NASAL 30 ML x 1 (INF); A4H
73856; SORINE ; SORINE; NOT FOUND; K S H+LENCO 60 ML x 1; A4H
69714; SORINE ; SORINE; NOT FOUND; NEBUL 45 ML x 1; A4H
137498; SORINE ; SORINE; NOT FOUND; SOL NAS.SSC 9 MG 100 ML x 1 (/ML); A4H
70411; SORINE ; SORINE; NOT FOUND; SOL NAS.SSC 9 MG 50 ML x 1 (/ML); A4H
67189; SORINE ; SORINE; NOT FOUND; SOL NASAL H 30 MG 60 ML x 1 (/ML); A4H
49623; SORINE GOTAS ; SORINE GOTAS; NOT FOUND; GOTAS NASAL 30 ML x 1 (ADLT); A4H
62307; SOYFEMME ; SOYFEMME; NOT FOUND; CAPS GELATIN 150 MG x 30; A4H
94514; STABIL ; STABIL; NOT FOUND; CPR 0.125 MG x 30; A4H
94516; STABIL ; STABIL; NOT FOUND; CPR 0.25 MG x 30; A4H
94517; STABIL ; STABIL; NOT FOUND; CPR 1 MG x 30; A4H
