90237; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; DRAG 1 G x 8; AB3
74607; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; DRAG 500 MG x 200; AB3
72693; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; DRAG 500 MG x 8; AB3
78249; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; SUSP 250 MG 100 ML x 1 (/5ML); AB3
75813; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; SUSP 250 MG 60 ML x 1 (/5ML); AB3
73633; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; SUSP 500 MG 100 ML x 1 (/5ML); AB3
73773; CEFALOTINA SODI.MG ; CEFALOTINA SODI; CEFALOTINA SODICA; F.AMP LIOF 1 G x 100; AB3
81759; CEFALOTINA SODI.MG ; CEFALOTINA SODI; CEFALOTINA SODICA; F.AMP LIOF 1 G x 50; AB3
74536; CEFAZOLINA SODI MG ; CEFAZOLINA SODI; CEFAZOLINA SODICA; F.AMP 1 G x 100; AB3
78413; CEFAZOLINA SODI MG ; CEFAZOLINA SODI; CEFAZOLINA SODICA; F.AMP 1 G x 50; AB3
135603; CEFTRIAXONA DIS.MG ; CEFTRIAXONA DIS; NOT FOUND; F.IV 1 G 10 ML x 50; AB3
74898; CEFTRIAXONA DIS.MG ; CEFTRIAXONA DIS; NOT FOUND; F.IV 1 G x 25; AB3
71690; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; F.AMP 500 MG 10 ML x 1; AB3
106065; CLO VANCOMICINA MG ; CLO VANCOMICINA; CLORIDRATO VANCOMICINA; F AMP . 500 MG x 25; AB3
68766; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP BOLSA 1 G 100 ML x 1; AB3
70227; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP BOLSA 2 G 100 ML x 1; AB3
68413; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP C/DILU 1 G 10 ML x 1; AB3
76294; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP C/DILU 1 G x 10; AB3
69249; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP S/DILU 2 G 10 ML x 1; AB3
76549; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; BOLSA. 0.90 % 100 ML x 10; AB3
