47344, KEFADIM , KEFADIM, NOT FOUND, F.AMP SOLV 1 G 10 ML x 1, AB3
63714, KEFADIM , KEFADIM, NOT FOUND, F.AMP SOLV 1 G 10 ML x 25, AB3
58738, KEFAZOL , KEFAZOL, NOT FOUND, AMP. 1 G x 50, AB3
5850, KEFAZOL , KEFAZOL, NOT FOUND, F.AMP 500 MG x 1, AB3
58739, KEFLIN , KEFLIN, NOT FOUND, F.AMP C/DILU 1 G x 50, AB3
58740, KEFLIN , KEFLIN, NOT FOUND, F.AMP S/DILU 1 G x 50, AB3
63944, KEFORAL , KEFORAL, NOT FOUND, CAPS GEL 500 MG x 200, AB3
63945, KEFORAL , KEFORAL, NOT FOUND, CAPS GEL 500 MG x 8, AB3
66617, KEFOX , KEFOX, NOT FOUND, F.IV S/DIL 1 G 10 ML x 25, AB3
66618, KEFTRON , KEFTRON, NOT FOUND, F.IV S/DIL 1 G 10 ML x 25, AB3
78715, KEFTRON , KEFTRON, NOT FOUND, F.IV S/DIL 1 G 10 ML x 50, AB3
85699, KEROXIME , KEROXIME, NOT FOUND, F.AMP IV/IM 750 MG 10 ML x 50, AB3
