109647, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, AOB
74321, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, CAPS 500 MG x 8, AOB
99501, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, SUSP ORAL 500 MG 100 ML x 1 (/ML), AOB
72694, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CAPS 500 MG x 100, AOB
68997, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR 500 MG x 10, AOB
68998, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR 500 MG x 8, AOB
64564, CEFALOTINA SODI.MG , CEFALOTINA SODI, CEFALOTINA SODICA, F.AMP C/DILU 1 G 10 ML x 1, AOB
64565, CEFALOTINA SODI.MG , CEFALOTINA SODI, CEFALOTINA SODICA, F.AMP C/DILU 1 G 10 ML x 50, AOB
68999, CEFALOTINA SODI.MG , CEFALOTINA SODI, CEFALOTINA SODICA, F.AMP S/DILU 1 G x 50, AOB
64600, CEFAZOLINA SODI MG , CEFAZOLINA SODI, CEFAZOLINA SODICA, F.AMP C/DILU 1 G 10 ML x 1, AOB
67847, CEFAZOLINA SODI MG , CEFAZOLINA SODI, CEFAZOLINA SODICA, F.AMP S/DILU 1 G 10 ML x 50, AOB
69917, CEFOTAXIMA SODI.MG , CEFOTAXIMA SODI, CEFOTAXIMA SODICA, F.AMP S/DILU 1 G x 50, AOB
67961, CEFOTAXIMA SODI.MG , CEFOTAXIMA SODI, CEFOTAXIMA SODICA, F.IV LIOF 1 G 5 ML x 1, AOB
66953, CEFTAZIDIMA MG , CEFTAZIDIMA, CEFTAZIDIMA, F.AMP C/DILU 1 G 10 ML x 50, AOB
68032, CEFTAZIDIMA MG , CEFTAZIDIMA, CEFTAZIDIMA, F.AMP S/DILU 1 G x 50, AOB
66559, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.AMP 1 G x 50, AOB
64756, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.AMP IV DIL 1 G 10 ML x 1, AOB
67531, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.AMP IV DIL 1 G 10 ML x 25, AOB
66560, CEFUROXIMA SOD.MG , CEFUROXIMA SOD, CEFUROXIMA SODICA, F.AMP 750 MG 6 ML x 1, AOB
66561, CEFUROXIMA SOD.MG , CEFUROXIMA SOD, CEFUROXIMA SODICA, F.AMP S/DILU 750 MG x 25, AOB
71553, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 14, AOB
71554, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28, AOB
66603, CLOR.CEFEPIMA MG , CLOR CEFEPIMA, CLORIDRATO CEFEPIMA, F.AMP S/DILU 1 G x 1, AOB
75816, CLOR.CEFEPIMA MG , CLOR CEFEPIMA, CLORIDRATO CEFEPIMA, F.AMP S/DILU 2 G x 1, AOB
66461, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 10, AOB
66465, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, AOB
66464, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 20, AOB
73544, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 1 G x 30, AOB
70430, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30, AOB
69734, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, AOB
77237, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, AOB
74214, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 28, AOB
