76965, CAFFE GREEN , CAFFE GREEN, NOT FOUND, EMULSAO 190 G x 1, BS2
74936, CAFFE GREEN , CAFFE GREEN, NOT FOUND, GEL DIURNO 60 G x 1, BS2
74937, CAFFE GREEN , CAFFE GREEN, NOT FOUND, GEL NOTURNO 60 G x 1, BS2
74938, CAFFE GREEN , CAFFE GREEN, NOT FOUND, LOC.TONICA 140 ML x 1, BS2
74939, CAFFE GREEN , CAFFE GREEN, NOT FOUND, MOUSSE LIMPE 150 ML x 1, BS2
76964, CAFFE GREEN , CAFFE GREEN, NOT FOUND, SERUM OLHOS 20 G x 1, BS2
161174, CIAVOR , CIAVOR, NOT FOUND, CPR REVEST 20 MG x 2, BS2
161175, CIAVOR , CIAVOR, NOT FOUND, CPR REVEST 20 MG x 4, BS2
161176, CIAVOR , CIAVOR, NOT FOUND, CPR REVEST 20 MG x 8, BS2
73666, CLAUDIC , CLAUDIC, NOT FOUND, CPR 100 MG x 30, BS2
73667, CLAUDIC , CLAUDIC, NOT FOUND, CPR 100 MG x 60, BS2
73664, CLAUDIC , CLAUDIC, NOT FOUND, CPR 50 MG x 30, BS2
73665, CLAUDIC , CLAUDIC, NOT FOUND, CPR 50 MG x 60, BS2
58384, CONTRACTUBEX , CONTRACTUBEX, NOT FOUND, GEL. 20 G x 1, BS2
125022, CONTRACTUBEX , CONTRACTUBEX, NOT FOUND, GEL. 50 G x 1, BS2
57709, CORONAR , CORONAR, NOT FOUND, AMP. 10 MG 1 ML x 50 (/ML), BS2
57707, CORONAR , CORONAR, NOT FOUND, CPR 20 MG x 30, BS2
52609, CRISTALPEN , CRISTALPEN, NOT FOUND, F.AMP 5 M x 50, BS2
44492, CRONOBE , CRONOBE, NOT FOUND, AMP. 5000 Y 2.50 ML x 2, BS2
