93530, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), CF2
59431, ACIVIRAX , ACIVIRAX, NOT FOUND, CPR 200 MG x 25, CF2
73211, ACIVIRAX , ACIVIRAX, NOT FOUND, CREME 10 G x 1, CF2
59432, ACIVIRAX , ACIVIRAX, NOT FOUND, CREME 5 G x 1, CF2
75456, ACNEE LOSS , ACNEE LOSS, NOT FOUND, GEL. 20 G x 1, CF2
58162, AFTINE , AFTINE, NOT FOUND, SUSP ORAL 20 ML x 1, CF2
97414, ALGE.AC+ENA.EST.MG , ALGE AC ENA EST, NOT FOUND, AMP 150 MG 1 ML x 1, CF2
164624, ALIVIOL , ALIVIOL, NOT FOUND, AEROSOL 120 ML x 1, CF2
58163, ALIVIOL , ALIVIOL, NOT FOUND, POM. 20 G x 1, CF2
55944, AMOXADENE , AMOXADENE, NOT FOUND, CAPS 500 MG x 21, CF2
58164, AMOXADENE , AMOXADENE, NOT FOUND, PO P/SUSP 125 MG 150 ML x 1 (/5ML), CF2
55110, AMOXADENE , AMOXADENE, NOT FOUND, PO P/SUSP 250 MG 150 ML x 1 (/5ML), CF2
55941, AMPLACIN , AMPLACIN, NOT FOUND, CAPS 500 MG x 12, CF2
55109, AMPLACIN , AMPLACIN, NOT FOUND, SUSP ORAL 250 MG 60 ML x 1 (/5ML), CF2
55112, APETIVITON BC , APETIVITON BC, NOT FOUND, SUSP ORAL 240 ML x 1, CF2
78653, ASPARGIL C , ASPARGIL C, NOT FOUND, CPR EFERV x 16, CF2
58490, ATENORM , ATENORM, NOT FOUND, CPR 50 MG x 28, CF2
85463, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 1000 MG x 1, CF2
66388, AZITRON , AZITRON, NOT FOUND, CPR REVEST 1000 MG x 1, CF2
66387, AZITRON , AZITRON, NOT FOUND, CPR REVEST 1000 MG x 2, CF2
58169, AZITRON , AZITRON, NOT FOUND, CPR REVEST 500 MG x 3, CF2
74318, AZITRON , AZITRON, NOT FOUND, CPR REVEST 500 MG x 5, CF2
58170, AZITRON , AZITRON, NOT FOUND, PO P/SUSP 600 MG 15 ML x 1, CF2
58171, AZITRON , AZITRON, NOT FOUND, PO P/SUSP 900 MG 22.5 ML x 1, CF2
