159922, CABEREDUX , CABEREDUX, NOT FOUND, CPR 0.50 MG x 2, CT6
159923, CABEREDUX , CABEREDUX, NOT FOUND, CPR 0.50 MG x 8, CT6
59756, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CREME 20 MG 30 G x 1 (/G), CT6
59757, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, XAMP 20 MG 100 ML x 1 (/G), CT6
69380, CETOPROFENO MG , CETOPROFENO, CETOPROFENO, AMP. 50 MG 2 ML x 48 (/ML), CT6
69379, CETOPROFENO MG , CETOPROFENO, CETOPROFENO, AMP. 50 MG 2 ML x 6 (/ML), CT6
63696, CETOPROFENO MG , CETOPROFENO, CETOPROFENO, F.IV LIOF 100 MG 2 ML x 50, CT6
58920, CETORO.TROMETAM.MG , CETORO TROMETAM, NOT FOUND, SOLN OFTAL 0.50 % 5 ML x 1, CT6
53621, CINETOL , CINETOL, NOT FOUND, AMP. 5 MG 1 ML x 50 (/ML), CT6
53622, CINETOL , CINETOL, NOT FOUND, CPR 2 MG x 200, CT6
54394, CINETOL , CINETOL, NOT FOUND, CPR 2 MG x 80, CT6
146379, CIS , CIS, NOT FOUND, AMP IV 2 MG 5 ML x 5 (/ML), CT6
53624, CITOCAINA , CITOCAINA, NOT FOUND, TUBETES 3 % 1.80 ML x 50, CT6
63697, CLO TETR+ANFO B MG , CLO TETR ANFO B, NOT FOUND, CR.VAG.10APL 45 G x 1, CT6
53626, CLONIDIN , CLONIDIN, NOT FOUND, AMP. 150 Y 1 ML x 25, CT6
95595, CLONIDIN , CLONIDIN, NOT FOUND, AMP. 150 Y 1 ML x 30, CT6
65285, CLOPAM , CLOPAM, NOT FOUND, CPR 0.50 MG x 20, CT6
66050, CLOPAM , CLOPAM, NOT FOUND, CPR 0.50 MG x 200, CT6
66013, CLOPAM , CLOPAM, NOT FOUND, CPR 2 MG x 20, CT6
64758, CLOPAM , CLOPAM, NOT FOUND, CPR 2 MG x 200, CT6
64757, CLOPAM , CLOPAM, NOT FOUND, GOTAS 2.50 MG 20 ML x 1 (/ML), CT6
58930, CLOR BETAXOLOL MG , CLOR BETAXOLOL, CLORIDRATO BETAXOLOL, SOLN OFTAL 0.50 % 5 ML x 1, CT6
61517, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. AD 30 MG 120 ML x 1 (/5ML), CT6
61516, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. PED. 15 MG 120 ML x 1 (/5ML, CT6
58929, CLOR. LIDOCAINA MG , CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, GEL. 2 % 30 G x 1, CT6
54587, CODEIN , CODEIN, NOT FOUND, CPR 30 MG x 30, CT6
54588, CODEIN , CODEIN, NOT FOUND, CPR 60 MG x 30, CT6
57974, CODEIN , CODEIN, NOT FOUND, SOLN ORAL 3 MG 120 ML x 1 (/ML), CT6
53661, COMPAZ , COMPAZ, NOT FOUND, AMP. 10 MG 2 ML x 50, CT6
53663, COMPAZ , COMPAZ, NOT FOUND, CPR 10 MG x 200, CT6
53662, COMPAZ , COMPAZ, NOT FOUND, CPR 5 MG x 200, CT6
59520, CRISPRED , CRISPRED, NOT FOUND, CPR 20 MG x 200, CT6
59519, CRISPRED , CRISPRED, NOT FOUND, CPR 5 MG x 200, CT6
90994, CU-ZN , CU ZN, NOT FOUND, CREME 40 ML x 1, CT6
68481, CU-ZN , CU ZN, NOT FOUND, CREME 75 ML x 1, CT6
68480, CU-ZN , CU ZN, NOT FOUND, GEL LIMPEZA 200 ML x 1, CT6
