85505, COLGATE , COLGATE, NOT FOUND, CD SEN P A M 50 G x 1, C_P
74892, COLGATE C.D , COLGATE C D, NOT FOUND, CD SENS BRAN 100 G x 3, C_P
70280, COLGATE C.D , COLGATE C D, NOT FOUND, CD SENS/BRAN 50 G x 1, C_P
70281, COLGATE C.D , COLGATE C D, NOT FOUND, CD SENS/FRES 50 G x 1, C_P
70824, COLGATE C.D , COLGATE C D, NOT FOUND, CD SENS/M P 100 G x 1, C_P
71432, COLGATE C.D , COLGATE C D, NOT FOUND, CD SENS/MP 50 G x 1, C_P
72537, COLGATE C.D , COLGATE C D, NOT FOUND, CD.SENS/BRAN 100 G x 1, C_P
67898, COLGATE C.D , COLGATE C D, NOT FOUND, CD.SENS/BRAN 103 G x 1, C_P
72538, COLGATE C.D , COLGATE C D, NOT FOUND, CD.SENS/F.ST 100 G x 1, C_P
78488, COLGATE C.D , COLGATE C D, NOT FOUND, CDSEN P/A/B 50 G x 1, C_P
76926, COLGATE C.D , COLGATE C D, NOT FOUND, CDSEN/P ALIV 50 G x 1, C_P
