6673; MEL ROSADO BORATAD ; MEL ROSADO BORATAD; NOT FOUND; LIQD 30 ML x 1; C_S
159921; MELAGRIAO ; MELAGRIAO; NOT FOUND; P C/A LA V/C x 120; C_S
69235; MELAGRIAO ; MELAGRIAO; NOT FOUND; P S/A LA V/C 5 G x 120; C_S
112264; MELAGRIAO ; MELAGRIAO; NOT FOUND; P S/A LI V/C x 120; C_S
112265; MELAGRIAO ; MELAGRIAO; NOT FOUND; P S/A ME V/C x 120; C_S
56468; MELAGRIAO ; MELAGRIAO; NOT FOUND; PA C/A MARAC 5 G x 120; C_S
56467; MELAGRIAO ; MELAGRIAO; NOT FOUND; PA C/A MENTA 5 G x 120; C_S
69234; MELAGRIAO ; MELAGRIAO; NOT FOUND; PA S/A AB/HO 5 G x 120; C_S
69233; MELAGRIAO ; MELAGRIAO; NOT FOUND; PA S/A CER 5 G x 120; C_S
59727; MELAGRIAO ; MELAGRIAO; NOT FOUND; PA.S/A LIMAO 5 G x 120; C_S
53384; MELAGRIAO ; MELAGRIAO; NOT FOUND; SPRAY 30 ML x 1; C_S
54249; MELAGRIAO ; MELAGRIAO; NOT FOUND; SPRAY 30 ML x 12; C_S
80844; MELAGRIAO ; MELAGRIAO; NOT FOUND; SPRAY LARANJ 30 ML x 1; C_S
81767; MELAGRIAO ; MELAGRIAO; NOT FOUND; SPRAY LIMAO 30 ML x 1; C_S
80845; MELAGRIAO ; MELAGRIAO; NOT FOUND; SPRAY MA/CAN 30 ML x 1; C_S
100146; MELAGRIAO ; MELAGRIAO; NOT FOUND; SPRAY TUTI-F 30 ML x 1; C_S
6660; MELAGRIAO ; MELAGRIAO; NOT FOUND; XAROPE 150 ML x 1; C_S
86905; MELAGRIAO PROPOLIV ; MELAGRIAO PROPOLIV; NOT FOUND; GOTAS 30 ML x 1; C_S
