63725, BENICAR , BENICAR, NOT FOUND, CPR F.C 20 MG x 30, DCS
63726, BENICAR , BENICAR, NOT FOUND, CPR F.C 40 MG x 30, DCS
78525, BENICAR HCT , BENICAR HCT, NOT FOUND, CPR REVEST 20 MG x 20 (/12), DCS
66046, BENICAR HCT , BENICAR HCT, NOT FOUND, CPR REVEST 20 MG x 30 (/12), DCS
78526, BENICAR HCT , BENICAR HCT, NOT FOUND, CPR REVEST 40 MG x 20 (/12), DCS
66047, BENICAR HCT , BENICAR HCT, NOT FOUND, CPR REVEST 40 MG x 30 (/12), DCS
66048, BENICAR HCT , BENICAR HCT, NOT FOUND, CPR REVEST 40 MG x 30 (/25), DCS
73919, BENICARANLO , BENICARANLO, NOT FOUND, CPR REVEST 20 MG x 30 (/5), DCS
73921, BENICARANLO , BENICARANLO, NOT FOUND, CPR REVEST 40 MG x 30 (/10), DCS
73920, BENICARANLO , BENICARANLO, NOT FOUND, CPR REVEST 40 MG x 30 (/5), DCS
97097, BENICARANLO , BENICARANLO, NOT FOUND, CPR REVEST 40 MG x 7 (/10), DCS
95630, BENICARANLO , BENICARANLO, NOT FOUND, CPR REVEST 40 MG x 7 (/5), DCS
106657, BIPOGINE , BIPOGINE, NOT FOUND, CPR 100 MG x 30, DCS
106659, BIPOGINE , BIPOGINE, NOT FOUND, CPR 25 MG x 30, DCS
106662, BIPOGINE , BIPOGINE, NOT FOUND, CPR 50 MG x 30, DCS
