65662, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 100 MG 16.7 ML x 1, EUF
65663, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 30 MG 5 ML x 1, EUF
75660, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 6 MG 16.7 ML x 10 (/ML), EUF
80228, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 6 MG 16.7 ML x 20 (/ML), EUF
75661, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 6 MG 5 ML x 10 (/ML), EUF
80227, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 6 MG 5 ML x 20 (/ML), EUF
76297, PACO , PACO, NOT FOUND, CPR x 12, EUF
65680, PAMIDRONATO DIS.MG , PAMIDRONATO DIS, PAMIDRONATO DISSODICO, F.AMP INFUS 30 MG x 2, EUF
65665, PAMIDRONATO DIS.MG , PAMIDRONATO DIS, PAMIDRONATO DISSODICO, F.AMP INFUS 90 MG x 1, EUF
57379, PANTOCAL , PANTOCAL, NOT FOUND, CPR REVEST 20 MG x 14, EUF
57380, PANTOCAL , PANTOCAL, NOT FOUND, CPR REVEST 20 MG x 28, EUF
57378, PANTOCAL , PANTOCAL, NOT FOUND, CPR REVEST 20 MG x 7, EUF
53145, PANTOCAL , PANTOCAL, NOT FOUND, CPR REVEST 40 MG x 14, EUF
57381, PANTOCAL , PANTOCAL, NOT FOUND, CPR REVEST 40 MG x 28, EUF
53144, PANTOCAL , PANTOCAL, NOT FOUND, CPR REVEST 40 MG x 7, EUF
57377, PANTOCAL , PANTOCAL, NOT FOUND, F.AMP LIOF 40 MG 10 ML x 1, EUF
66144, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, EUF
66145, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, EUF
66143, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 7, EUF
63798, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, F.AMP C/DILU 40 MG 10 ML x 50, EUF
78203, PARACETA+CODE MG , PARACETA CODE, NOT FOUND, CPR 500 MG x 12 (/30), EUF
64357, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, EUF
64356, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, EUF
64358, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), EUF
