63762, RIFAMICINA MG , RIFAMICINA, RIFAMICINA, SPRAY 10 MG 20 ML x 1 (/ML), EUF
75429, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 1 MG x 20, EUF
103531, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 1 MG x 30, EUF
75430, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 2 MG x 20, EUF
103529, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 2 MG x 30, EUF
75431, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 3 MG x 20, EUF
107714, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 3 MG x 30, EUF
77738, RISS , RISS, NOT FOUND, CPR REVEST 1 MG x 10, EUF
75447, RISS , RISS, NOT FOUND, CPR REVEST 1 MG x 20, EUF
85280, RISS , RISS, NOT FOUND, CPR REVEST 1 MG x 30, EUF
78069, RISS , RISS, NOT FOUND, CPR REVEST 2 MG x 10, EUF
75448, RISS , RISS, NOT FOUND, CPR REVEST 2 MG x 20, EUF
84779, RISS , RISS, NOT FOUND, CPR REVEST 2 MG x 30, EUF
75449, RISS , RISS, NOT FOUND, CPR REVEST 3 MG x 20, EUF
85281, RISS , RISS, NOT FOUND, CPR REVEST 3 MG x 30, EUF
