64531, V.BE+SU.G+TO+CL MG , V BE SU G TO CL, NOT FOUND, CREME 20 G x 1, EUF
64532, V.BE+SU.G+TO+CL MG , V BE SU G TO CL, NOT FOUND, POM. 20 G x 1, EUF
54365, VAGITRENE , VAGITRENE, NOT FOUND, CR.VAG.10APL 40 G x 1, EUF
44282, VAGITRENE , VAGITRENE, NOT FOUND, CREME APLIC 40 G x 1, EUF
75878, VAGIVIT , VAGIVIT, NOT FOUND, CPR VAG. 250 MG x 6, EUF
61525, VALER.BETAMETA.MG , VALER BETAMETA, VALERATO BETAMETASONA, CREME 1 MG 30 G x 1 (/G), EUF
61526, VALER.BETAMETA.MG , VALER BETAMETA, VALERATO BETAMETASONA, POM. 1 MG 30 G x 1 (/G), EUF
131039, VARTAZ , VARTAZ, NOT FOUND, CPR REVEST 160 MG x 30, EUF
131045, VARTAZ , VARTAZ, NOT FOUND, CPR REVEST 320 MG x 30, EUF
131047, VARTAZ , VARTAZ, NOT FOUND, CPR REVEST 80 MG x 30, EUF
78704, VASATIV , VASATIV, NOT FOUND, CPR 100 MG x 15, EUF
75519, VASATIV , VASATIV, NOT FOUND, CPR 100 MG x 30, EUF
75521, VASATIV , VASATIV, NOT FOUND, CPR 100 MG x 60, EUF
78014, VASATIV , VASATIV, NOT FOUND, CPR 50 MG x 15, EUF
75518, VASATIV , VASATIV, NOT FOUND, CPR 50 MG x 30, EUF
75520, VASATIV , VASATIV, NOT FOUND, CPR 50 MG x 60, EUF
113305, VAST , VAST, NOT FOUND, CPR REV 10 MG x 30, EUF
113306, VAST , VAST, NOT FOUND, CPR REV 20 MG x 30, EUF
113309, VAST , VAST, NOT FOUND, CPR REV 40 MG x 30, EUF
163160, VAST , VAST, NOT FOUND, CPR REVEST 10 MG x 10, EUF
69404, VENLAXIN , VENLAXIN, NOT FOUND, CAPS 150 MG x 14, EUF
75668, VENLAXIN , VENLAXIN, NOT FOUND, CAPS 37.5 MG x 14, EUF
69405, VENLAXIN , VENLAXIN, NOT FOUND, CAPS 75 MG x 14, EUF
84785, VENLAXIN , VENLAXIN, NOT FOUND, CAPS L.C. 150 MG x 28, EUF
84782, VENLAXIN , VENLAXIN, NOT FOUND, CAPS L.C. 37.5 MG x 28, EUF
77740, VENLAXIN , VENLAXIN, NOT FOUND, CAPS L.C. 37.5 MG x 7, EUF
85702, VENLAXIN , VENLAXIN, NOT FOUND, CAPS L.C. 75 MG x 28, EUF
78495, VENLAXIN , VENLAXIN, NOT FOUND, CAPS L.C. 75 MG x 7, EUF
103512, VERSA , VERSA, NOT FOUND, SER.PRE-E DS 20 MG 0.20 ML x 2, EUF
103514, VERSA , VERSA, NOT FOUND, SER.PRE-E DS 20 MG 0.20 ML x 6, EUF
103518, VERSA , VERSA, NOT FOUND, SER.PRE-E DS 40 MG 0.40 ML x 2, EUF
103519, VERSA , VERSA, NOT FOUND, SER.PRE-E DS 40 MG 0.40 ML x 6, EUF
103522, VERSA , VERSA, NOT FOUND, SER.PRE-E DS 60 MG 0.60 ML x 2, EUF
103525, VERSA , VERSA, NOT FOUND, SER.PRE-E DS 80 MG 0.80 ML x 2, EUF
75998, VERSA , VERSA, NOT FOUND, SER.PRE-ENCH 20 MG 0.20 ML x 10, EUF
75997, VERSA , VERSA, NOT FOUND, SER.PRE-ENCH 20 MG 0.20 ML x 2, EUF
76000, VERSA , VERSA, NOT FOUND, SER.PRE-ENCH 40 MG 0.40 ML x 10, EUF
75999, VERSA , VERSA, NOT FOUND, SER.PRE-ENCH 40 MG 0.40 ML x 2, EUF
76001, VERSA , VERSA, NOT FOUND, SER.PRE-ENCH 60 MG 0.60 ML x 2, EUF
76002, VERSA , VERSA, NOT FOUND, SER.PRE-ENCH 80 MG 0.80 ML x 2, EUF
