70888, SELSUN AZUL , SELSUN AZUL, NOT FOUND, LIQ NUTR ATI 100 ML x 1, FAS
70889, SELSUN AZUL , SELSUN AZUL, NOT FOUND, LIQD HIDRAT 100 ML x 1, FAS
71754, SELSUN AZUL , SELSUN AZUL, NOT FOUND, LIQD MEN/REV 100 ML x 1, FAS
31821, SELSUN AZUL , SELSUN AZUL, NOT FOUND, LIQD 100 ML x 1, FAS
44370, SELSUN AZUL , SELSUN AZUL, NOT FOUND, LIQD OLEOSO 100 ML x 1, FAS
44372, SELSUN AZUL , SELSUN AZUL, NOT FOUND, LIQD SECO 100 ML x 1, FAS
32555, SELSUN OURO , SELSUN OURO, NOT FOUND, LIQD 100 ML x 1, FAS
45544, SILIVER , SILIVER, NOT FOUND, DRAG 100 MG x 12, FAS
29447, SOBREPIN , SOBREPIN, NOT FOUND, XAROPE 40 MG 100 ML x 1 (/5ML), FAS
29969, SOBREPIN , SOBREPIN, NOT FOUND, AERO 40 MG 3 ML x 5, FAS
29446, SOBREPIN , SOBREPIN, NOT FOUND, SUP INF 100 MG x 5, FAS
9626, SOLVOBIL , SOLVOBIL, NOT FOUND, ELIXIR 150 ML x 1, FAS
71623, SULBAMOX , SULBAMOX, NOT FOUND, CPR 500 MG x 8 (/500), FAS
71624, SULBAMOX , SULBAMOX, NOT FOUND, CPR 250 MG x 16 (/250), FAS
71628, SULBAMOX , SULBAMOX, NOT FOUND, F.AMP C/DILU 1000 MG 5 ML x 1 (/500), FAS
71629, SULBAMOX , SULBAMOX, NOT FOUND, F.AMP C/DILU 500 MG 5 ML x 1 (/250), FAS
71626, SULBAMOX BD , SULBAMOX BD, NOT FOUND, CPR BD x 14, FAS
71625, SULBAMOX BD , SULBAMOX BD, NOT FOUND, SUSP ORAL BD 60 ML x 1, FAS
71627, SULBAMOX BD , SULBAMOX BD, NOT FOUND, SUSP ORAL BD 30 ML x 1, FAS
