48885, PIROFEBRAN , PIROFEBRAN, NOT FOUND, CPR 500 MG x 200, GLO
48886, PIROFEBRAN , PIROFEBRAN, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), GLO
60464, PIROXAN , PIROXAN, NOT FOUND, CAPS 10 MG x 15, GLO
60465, PIROXAN , PIROXAN, NOT FOUND, CAPS 20 MG x 15, GLO
69547, POLARATIN , POLARATIN, NOT FOUND, CPR 2 MG x 20, GLO
67183, POLARATIN , POLARATIN, NOT FOUND, XAROPE 2 MG 100 ML x 1 (/5ML), GLO
65132, PRESSOCORD , PRESSOCORD, NOT FOUND, CPR 10 MG x 30, GLO
65133, PRESSOCORD , PRESSOCORD, NOT FOUND, CPR 20 MG x 30, GLO
65134, PRESSOCORD , PRESSOCORD, NOT FOUND, CPR 5 MG x 30, GLO
78448, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 30 G x 1, GLO
65624, PROPALOL , PROPALOL, NOT FOUND, CPR 40 MG x 40, GLO
65625, PROPALOL , PROPALOL, NOT FOUND, CPR 80 MG x 20, GLO
