103030; DEEPLIN ; DEEPLIN; NOT FOUND; CPR REVEST 20 MG x 30; GM2
68567; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 30 MG x 10; GM2
68367; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 6 MG x 20; GM2
75636; DERMATOL ; DERMATOL; NOT FOUND; CREME DERMAT 0.50 MG 30 G x 1 (/G); GM2
75637; DERMATOL ; DERMATOL; NOT FOUND; LOC.CAPILAR 1 MG 30 G x 1 (/G); GM2
75638; DERMATOL ; DERMATOL; NOT FOUND; POM.DERMAT 0.50 MG 30 G x 1 (/G); GM2
78493; DERMAZELAIC ; DERMAZELAIC; NOT FOUND; GEL. 150 MG 15 G x 1 (/G); GM2
78503; DERMAZELAIC ; DERMAZELAIC; NOT FOUND; GEL. 150 MG 30 G x 1 (/G); GM2
76654; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 10; GM2
92466; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 30; GM2
77460; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 100 ML x 1 (/ML); GM2
77459; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 60 ML x 1 (/ML); GM2
67650; DESONIDA MG ; DESONIDA; DESONIDA; CREME 0.50 MG 30 G x 1 (/G); GM2
69320; DESONIDA MG ; DESONIDA; DESONIDA; LOC.CAPILAR 1 MG 30 G x 1 (/G); GM2
66706; DESONIDA MG ; DESONIDA; DESONIDA; POM. 0.50 MG 30 G x 1 (/G); GM2
66709; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; CPR 0.50 MG x 20; GM2
66707; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; CPR 4 MG x 10; GM2
155033; DIABEMED ; DIABEMED; NOT FOUND; CPR 1 MG x 30; GM2
78520; DIABEMED ; DIABEMED; NOT FOUND; CPR 1 MG x 60; GM2
155034; DIABEMED ; DIABEMED; NOT FOUND; CPR 2 MG x 30; GM2
78521; DIABEMED ; DIABEMED; NOT FOUND; CPR 2 MG x 60; GM2
155035; DIABEMED ; DIABEMED; NOT FOUND; CPR 4 MG x 30; GM2
78522; DIABEMED ; DIABEMED; NOT FOUND; CPR 4 MG x 60; GM2
66710; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; AMP. 10 MG 2 ML x 5; GM2
66712; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 10 MG x 20; GM2
69846; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 10 MG x 30; GM2
66711; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 5 MG x 20; GM2
69845; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 5 MG x 30; GM2
155036; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.125 MG x 30; GM2
155037; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.25 MG x 30; GM2
158185; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 1 MG x 30; GM2
67705; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 10; GM2
66714; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 14; GM2
66713; DICLOF.COLESTIR.MG ; DICLOF COLESTIR; NOT FOUND; CAPS 70 MG x 20; GM2
66716; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); GM2
76123; DICLOF.SODI.CPR MG ; DICLOF SODI CPR; NOT FOUND; CPR REVEST 100 MG x 10; GM2
85289; DICLOF.SODI.CPR MG ; DICLOF SODI CPR; NOT FOUND; CPR REVEST 50 MG x 20; GM2
66715; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 60 G x 1; GM2
69847; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; GEL. 10 MG 60 G x 1 (/G); GM2
69019; DIMET+MET.HOMAT.MG ; DIMET MET HOMAT; NOT FOUND; GOTAS 20 ML x 1; GM2
66304; DIMETICONA MG ; DIMETICONA; DIMETICONA; CAPS 125 MG x 10; GM2
63994; DIMETICONA MG ; DIMETICONA; DIMETICONA; CPR 40 MG x 20; GM2
66717; DIN.ISOSSORBIDA.MG ; DIN ISOSSORBIDA; NOT FOUND; CPR 10 MG x 30; GM2
66718; DIN.ISOSSORBIDA.MG ; DIN ISOSSORBIDA; NOT FOUND; CPR 5 MG x 30; GM2
67968; DIP.BET+AC.SALI MG ; DIP BET AC SALI; NOT FOUND; POM. 30 G x 1; GM2
76501; DIP.BET+AC.SALI MG ; DIP BET AC SALI; NOT FOUND; SOLN TOP. 30 ML x 1; GM2
66720; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; CREME 30 G x 1; GM2
66719; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; POM. 30 G x 1; GM2
71710; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 240; GM2
69669; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); GM2
69743; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); GM2
69848; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/ML; GM2
66721; DIPROP.BETAMETA.MG ; DIPROP BETAMETA; NOT FOUND; CREME 0.64 MG 30 G x 1 (/G); GM2
68572; DIPROP.BETAMETA.MG ; DIPROP BETAMETA; NOT FOUND; POM. 0.64 MG 30 G x 1 (/G); GM2
78950; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; CPR 10 MG x 30; GM2
78951; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; CPR 10 MG x 60; GM2
89941; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); GM2
135992; DULORGRAN ; DULORGRAN; NOT FOUND; CAPS LR 30 MG x 15; GM2
135997; DULORGRAN ; DULORGRAN; NOT FOUND; CAPS LR 30 MG x 30; GM2
137877; DULORGRAN ; DULORGRAN; NOT FOUND; CAPS LR 60 MG x 30; GM2
