66775, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, GM2
66778, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, GM2
66777, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, GM2
66776, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, GM2
144149, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 42, GM2
140522, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 42, GM2
74238, PARACET+CAFEINA MG , PARACET CAFEINA, NOT FOUND, CPR REVEST 500 MG x 20 (/65), GM2
73425, PARACETA+PSEUDO MG , PARACETA PSEUDO, NOT FOUND, CPR REVEST 500 MG x 24 (/30), GM2
69339, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), GM2
71283, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 100 MG 15 ML x 1 (/ML), GM2
70194, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 20, GM2
69758, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 200, GM2
69756, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 500 MG x 100, GM2
69757, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 500 MG x 200, GM2
71282, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SUSP ORAL 32 MG 60 ML x 1 (/ML), GM2
68671, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 500 MG 5 G x 50, GM2
72570, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SACH.MEL/LIM 500 MG 5 G x 25, GM2
71284, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, GM2
66779, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 20, GM2
80660, PIOTAZ , PIOTAZ, NOT FOUND, CPR 30 MG x 30, GM2
80658, PIOTAZ , PIOTAZ, NOT FOUND, CPR 15 MG x 30, GM2
80661, PIOTAZ , PIOTAZ, NOT FOUND, CPR 45 MG x 15, GM2
80413, PIOTAZ , PIOTAZ, NOT FOUND, CPR 15 MG x 15, GM2
80659, PIOTAZ , PIOTAZ, NOT FOUND, CPR 30 MG x 15, GM2
68940, PIROXICAM GEL MG , PIROXICAM GEL, NOT FOUND, GEL. 0.50 % 30 G x 1, GM2
66784, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, GM2
66801, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 10, GM2
76671, PIROXICAM MG , PIROXICAM, PIROXICAM, CPR SOLUVEL 20 MG x 10, GM2
91052, PREDNISOLONA MG , PREDNISOLONA, PREDNISOLONA, CPR 20 MG x 10, GM2
64009, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, GM2
64010, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, GM2
160482, PRENISOL , PRENISOL, NOT FOUND, SOL ORAL 3 MG 60 ML x 1 (/ML), GM2
66785, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), GM2
66786, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), GM2
