63040, LANZOPEPT , LANZOPEPT, NOT FOUND, CAPS 30 MG x 14, GOB
64918, LANZOPEPT , LANZOPEPT, NOT FOUND, CAPS 30 MG x 28, GOB
64920, LONIPRIL , LONIPRIL, NOT FOUND, CPR 10 MG x 30, GOB
79790, LORATA+PSEUDOEF.MG , LORATA PSEUDOEF, NOT FOUND, XAR. 12 MG 60 ML x 1 (/ML), GOB
69258, LORATADINA MG , LORATADINA, LORATADINA, XAROPE 5 MG 100 ML x 1 (/5ML), GOB
63747, LORITIL , LORITIL, NOT FOUND, CPR 10 MG x 12, GOB
68663, LORITIL , LORITIL, NOT FOUND, CPR 10 MG x 480, GOB
68535, LORITIL , LORITIL, NOT FOUND, XAROPE 5 MG 100 ML x 1 (/5ML), GOB
79141, LORITIL D , LORITIL D, NOT FOUND, XAR. 1 MG 60 ML x 1 (/12), GOB
90218, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 100 MG x 30, GOB
90223, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 30, GOB
125028, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 450, GOB
90215, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 500, GOB
