52212; GAMALINE V ; GAMALINE V; NOT FOUND; CAPS 1 G x 15; HBA
59073; GAMALINE V ; GAMALINE V; NOT FOUND; CAPS 1 G x 30; HBA
57099; GARRA DO DIABO ; GARRA DO DIABO; NOT FOUND; CAPS 200 MG x 45; HBA
75125; GELEIA REAL ; GELEIA REAL; NOT FOUND; CAPS 100 MG x 30; HBA
77385; GINKGO BILOBA ; GINKGO BILOBA; GINKGO BILOBA; CAPS 40 MG x 200; HBA
77384; GINKGO BILOBA ; GINKGO BILOBA; GINKGO BILOBA; CAPS 40 MG x 60; HBA
70000; GINKGO BILOBA CAPS ; GINKGO BILOBA CAPS; NOT FOUND; CAPS 20 MG x 200; HBA
61092; GINKGO BILOBA CAPS ; GINKGO BILOBA CAPS; NOT FOUND; CAPS 20 MG x 60; HBA
55382; GINKGO BILOBA CAPS ; GINKGO BILOBA CAPS; NOT FOUND; CAPS x 45; HBA
53720; GINSENG ; GINSENG; NOT FOUND; CAPS x 45; HBA
75128; GUACO ; GUACO; NOT FOUND; XAR. 1 MG 120 ML x 1 (/ML); HBA
75127; GUACO ; GUACO; NOT FOUND; XAROPE S/A 81.5 MG 120 ML x 1 (/ML); HBA
57103; GUARANA ; GUARANA; NOT FOUND; CAPS 550 MG x 45; HBA
