65429, ONETOUCH BASIC , ONETOUCH BASIC, NOT FOUND, TIRAS TESTE x 50, J_J
142012, ONETOUCH FAMILIA , ONETOUCH FAMILIA, NOT FOUND, K M+T100+L25 x 1, J_J
142014, ONETOUCH MINI FREE , ONETOUCH MINI FREE, NOT FOUND, K MINI+50TIR x 1, J_J
112477, ONETOUCH SE SIMPLE , ONETOUCH SE SIMPLE, NOT FOUND, K 50T+AP ME x 1, J_J
117523, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, K L2X50 P75 x 100, J_J
117525, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, K L4X50 P3 x 200, J_J
99732, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, K T2X25+T25 x 75, J_J
81213, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, K T2X50+T25 x 125, J_J
99731, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, K T2X50+T50 x 150, J_J
150181, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, K T50+LAN25 x 1, J_J
80175, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, K TIRA 50+10 x 60, J_J
76732, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, KIT MON+10T x 1, J_J
91153, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, LANCETAS x 100, J_J
91157, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, LANCETAS x 25, J_J
107522, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, SIST.COMPLET x 1, J_J
65567, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, TIRAS TESTE x 10, J_J
65568, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, TIRAS TESTE x 25, J_J
65431, ONETOUCH ULTRA , ONETOUCH ULTRA, NOT FOUND, TIRAS TESTE x 50, J_J
76733, ONETOUCH ULTRA 2 , ONETOUCH ULTRA 2, NOT FOUND, KIT MON+10T x 1, J_J
107112, ONETOUCH ULTRA 2 , ONETOUCH ULTRA 2, NOT FOUND, LANCETAS x 25, J_J
76734, ONETOUCH ULTRA MIN , ONETOUCH ULTRA MIN, NOT FOUND, K MON+10T PR x 1, J_J
93553, ONETOUCH ULTRA MIN , ONETOUCH ULTRA MIN, NOT FOUND, K MON+10T RO x 1, J_J
93555, ONETOUCH ULTRA MIN , ONETOUCH ULTRA MIN, NOT FOUND, K MON+10T VE x 1, J_J
117526, ONETOUCH ULTRA MIN , ONETOUCH ULTRA MIN, NOT FOUND, K MON+50T PR x 1, J_J
