102180; ESOMEPRAZOL MAG MG ; ESOMEPRAZOL MAG; ESOMEPRAZOL MAGNESICO; CPR REVEST 20 MG x 14; LG6
102181; ESOMEPRAZOL MAG MG ; ESOMEPRAZOL MAG; ESOMEPRAZOL MAGNESICO; CPR REVEST 20 MG x 28; LG6
102182; ESOMEPRAZOL MAG MG ; ESOMEPRAZOL MAG; ESOMEPRAZOL MAGNESICO; CPR REVEST 40 MG x 14; LG6
102183; ESOMEPRAZOL MAG MG ; ESOMEPRAZOL MAG; ESOMEPRAZOL MAGNESICO; CPR REVEST 40 MG x 28; LG6
62639; ESPASMO FLATOL ; ESPASMO FLATOL; NOT FOUND; GOTAS 20 ML x 1; LG6
57992; ESSEDIN ; ESSEDIN; NOT FOUND; CAPS x 20; LG6
97412; ESTALOX ; ESTALOX; NOT FOUND; CPR REVEST 10 MG x 30; LG6
98544; ESTALOX ; ESTALOX; NOT FOUND; CPR REVEST 20 MG x 30; LG6
47907; EXPEC ; EXPEC; NOT FOUND; XAR. 120 ML x 1; LG6
77819; EXPECTAMIN ; EXPECTAMIN; NOT FOUND; SOLN ORAL 120 ML x 1; LG6
48186; EXPECTAMIN ; EXPECTAMIN; NOT FOUND; SUSP 100 ML x 1; LG6
62640; EXPECTAMIN F ; EXPECTAMIN F; NOT FOUND; CPR 6 MG x 12; LG6
