3139, DESERILA , DESERILA, NOT FOUND, DRAG 1 MG x 25, NVR
56821, DESFERAL , DESFERAL, NOT FOUND, F.AMP 500 MG 5 ML x 5, NVR
65040, DICLOF.COLESTIR.MG , DICLOF COLESTIR, NOT FOUND, CAPS 70 MG x 14, NVR
65041, DICLOF.COLESTIR.MG , DICLOF COLESTIR, NOT FOUND, CAPS 70 MG x 20, NVR
65042, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, DRAG 50 MG x 20, NVR
62364, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 20, NVR
64251, DIOCOMB SI , DIOCOMB SI, NOT FOUND, CPR REVEST 160 MG x 56 (/20), NVR
64499, DIOCOMB SI , DIOCOMB SI, NOT FOUND, CPR REVEST 80 MG x 56 (/10), NVR
64250, DIOCOMB SI , DIOCOMB SI, NOT FOUND, CPR REVEST 80 MG x 56 (/20), NVR
51810, DIOVAN , DIOVAN, NOT FOUND, CAPS 80 MG x 14, NVR
60071, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 160 MG x 14, NVR
60072, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 160 MG x 28, NVR
77159, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 320 MG x 14, NVR
66016, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 320 MG x 28, NVR
63799, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 40 MG x 14, NVR
63800, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 40 MG x 28, NVR
60069, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 80 MG x 14, NVR
60070, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 80 MG x 28, NVR
63684, DIOVAN AMLO , DIOVAN AMLO, NOT FOUND, CPR REVEST 160 MG x 28 (/5), NVR
63683, DIOVAN AMLO , DIOVAN AMLO, NOT FOUND, CPR REVEST 80 MG x 28 (/5), NVR
72489, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.160MG 10 MG x 28, NVR
77160, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.160MG 5 MG x 14, NVR
72488, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.160MG 5 MG x 28, NVR
72491, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.320MG 10 MG x 28, NVR
77161, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.320MG 5 MG x 14, NVR
72490, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.320MG 5 MG x 28, NVR
72487, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.REV 80MG 5 MG x 28, NVR
56568, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 12 MG x 14 (/160), NVR
56569, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 12 MG x 28 (/160), NVR
77162, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 12.5 MG x 14 (/320), NVR
74583, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 12.5 MG x 28 (/320), NVR
62566, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 25 MG x 14 (/160), NVR
62567, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 25 MG x 28 (/160), NVR
74584, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 25 MG x 28 (/320), NVR
53230, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 80 MG x 14 (/12), NVR
53231, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 80 MG x 28 (/12), NVR
77164, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 10 MG x 28 (/12), NVR
75856, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 10 MG x 56 (/25), NVR
75854, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 12.5 MG x 56 (/10), NVR
75855, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 25 MG x 56 (/5), NVR
77163, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 5 MG x 28 (/12), NVR
75853, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 5 MG x 56 (/12), NVR
