95751; HIGROTON ; HIGROTON; NOT FOUND; CPR 12.5 MG x 14; NVR
49594; HIGROTON ; HIGROTON; NOT FOUND; CPR 12.5 MG x 42; NVR
89072; HIGROTON ; HIGROTON; NOT FOUND; CPR 25 MG x 14; NVR
46435; HIGROTON ; HIGROTON; NOT FOUND; CPR 25 MG x 42; NVR
47398; HIGROTON ; HIGROTON; NOT FOUND; CPR 50 MG x 28; NVR
27923; HIGROTON RES. ; HIGROTON RES; NOT FOUND; CPR 50 MG x 20; NVR
5499; HYDERGINE ; HYDERGINE; NOT FOUND; AMP. 1 MG 1 ML x 50; NVR
28626; HYDERGINE ; HYDERGINE; NOT FOUND; CAPS 1 MG x 36; NVR
31668; HYDERGINE ; HYDERGINE; NOT FOUND; CPR 4.50 MG x 14; NVR
5502; HYDERGINE ; HYDERGINE; NOT FOUND; GOTAS 1 MG 30 ML x 1 (/ML); NVR
32129; HYDERGINE ; HYDERGINE; NOT FOUND; GOTAS 4.50 MG 15 ML x 1 (/ML); NVR
51696; HYDERGINE SRO ; HYDERGINE SRO; NOT FOUND; CAPS L.P. 6 MG x 14; NVR
52981; HYDERGINE SRO ; HYDERGINE SRO; NOT FOUND; CAPS L.P. 6 MG x 28; NVR
54601; HYPOTEARS PLUS DU ; HYPOTEARS PLUS DU; NOT FOUND; FLACONETES 50 MG 0.40 ML x 20 (/; NVR
