59968; FAMOTID ; FAMOTID; NOT FOUND; CPR 20 MG x 10; N_Q
59969; FAMOTID ; FAMOTID; NOT FOUND; CPR 40 MG x 10; N_Q
70311; FENATIL ; FENATIL; NOT FOUND; DRAG 10 MG x 20; N_Q
70312; FENATIL ; FENATIL; NOT FOUND; DRAG 25 MG x 20; N_Q
69849; FENOBARBITAL MG ; FENOBARBITAL; FENOBARBITAL; CPR 100 MG x 20; N_Q
62790; FINASTEC ; FINASTEC; NOT FOUND; CPR 5 MG x 30; N_Q
85406; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 5 MG x 30; N_Q
61766; FISIOREN ; FISIOREN; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); N_Q
61982; FLAVONID ; FLAVONID; NOT FOUND; CPR REVEST 500 MG x 30; N_Q
73969; FLAVONID ; FLAVONID; NOT FOUND; CPR REVEST 500 MG x 500; N_Q
76475; FLAVONID ; FLAVONID; NOT FOUND; CPR REVEST 500 MG x 60; N_Q
61983; FLAZAL ; FLAZAL; NOT FOUND; CPR 30 MG x 10; N_Q
61984; FLAZAL ; FLAZAL; NOT FOUND; CPR 6 MG x 20; N_Q
61985; FLOMICIN ; FLOMICIN; NOT FOUND; CAPS 100 MG x 12; N_Q
61986; FLOMICIN ; FLOMICIN; NOT FOUND; PO.ORAL ENV. 200 MG 1 G x 4; N_Q
47291; FLOXICAM ; FLOXICAM; NOT FOUND; CAPS 10 MG x 15; N_Q
46959; FLOXICAM ; FLOXICAM; NOT FOUND; CAPS 20 MG x 15; N_Q
46753; FLOXICAM ; FLOXICAM; NOT FOUND; GOTAS 10 MG 15 ML x 1 (/ML); N_Q
69389; FLUCCIL ; FLUCCIL; NOT FOUND; CPR 10 MG x 20; N_Q
69390; FLUCCIL ; FLUCCIL; NOT FOUND; GOTAS 4 MG 10 ML x 1 (/ML); N_Q
72557; FLUCONAZOL MG ; FLUCONAZOL; FLUCONAZOL; CAPS 150 MG x 1; N_Q
72558; FLUCONAZOL MG ; FLUCONAZOL; FLUCONAZOL; CAPS 150 MG x 2; N_Q
53367; FLUCONEO ; FLUCONEO; NOT FOUND; CAPS 150 MG x 1; N_Q
55528; FLUCONEO ; FLUCONEO; NOT FOUND; CAPS 150 MG x 2; N_Q
61447; FLUXON ; FLUXON; NOT FOUND; CPR 25 MG x 30; N_Q
61448; FLUXON ; FLUXON; NOT FOUND; CPR 75 MG x 30; N_Q
58248; FONERGORAL ; FONERGORAL; NOT FOUND; COLUT 150 ML x 1; N_Q
58249; FONERGORAL ; FONERGORAL; NOT FOUND; PAST LARANJA x 12; N_Q
58250; FONERGORAL ; FONERGORAL; NOT FOUND; PAST LIMAO x 12; N_Q
76979; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; GOTAS 0.25 MG 5 ML x 1 (/ML); N_Q
78108; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 1.38 MG 120 ML x 1 (/5ML); N_Q
85408; FUROAT.MOMETASO.MG ; FUROAT MOMETASO; FUROATO MOMETASONA; CREME 1 MG 20 G x 1 (/G); N_Q
85407; FUROAT.MOMETASO.MG ; FUROAT MOMETASO; FUROATO MOMETASONA; POM. 1 MG 20 G x 1 (/G); N_Q
