69091, CETACONAL , CETACONAL, NOT FOUND, CPR 200 MG x 10, PLB
69092, CETACONAL , CETACONAL, NOT FOUND, CPR 200 MG x 30, PLB
69090, CETACONAL , CETACONAL, NOT FOUND, CREME 20 MG 30 G x 1 (/G), PLB
69093, CETACONAL SHAMPOO , CETACONAL SHAMPOO, NOT FOUND, XAMP 20 MG 100 ML x 1 (/G), PLB
78402, CITROBION , CITROBION, NOT FOUND, CPR EFERV 1 G x 10, PLB
78403, CITROBION , CITROBION, NOT FOUND, CPR EFERV 2 G x 10, PLB
70467, CITROBION , CITROBION, NOT FOUND, GOTAS 200 MG 20 ML x 1 (/ML), PLB
70468, CITROBION , CITROBION, NOT FOUND, PAST LARANJA 500 MG x 20, PLB
69315, COMPLEXAN , COMPLEXAN, NOT FOUND, DRAG x 30, PLB
69316, COMPLEXAN , COMPLEXAN, NOT FOUND, GOTAS 30 ML x 1, PLB
69317, COMPLEXAN , COMPLEXAN, NOT FOUND, XAR. 100 ML x 1, PLB
