69254, GASTROFTAL , GASTROFTAL, NOT FOUND, PAS.MAST MEN x 20, PLB
69251, GASTROFTAL , GASTROFTAL, NOT FOUND, PO EFER ABA. 5 G x 100, PLB
112044, GASTROFTAL , GASTROFTAL, NOT FOUND, PO EFER ABAC 5 G x 50, PLB
69252, GASTROFTAL , GASTROFTAL, NOT FOUND, PO EFER LAR. 5 G x 100, PLB
141261, GASTROFTAL , GASTROFTAL, NOT FOUND, PO EFER LAR. 5 G x 50, PLB
69253, GASTROFTAL , GASTROFTAL, NOT FOUND, PO EFER LIMA 5 G x 100, PLB
141263, GASTROFTAL , GASTROFTAL, NOT FOUND, PO EFER LIMA 5 G x 50, PLB
69255, GASTROFTAL , GASTROFTAL, NOT FOUND, SUSP MENTA 240 ML x 1, PLB
75297, GASTRONAN , GASTRONAN, NOT FOUND, CAPS 380 MG x 30, PLB
75298, GASTRONAN , GASTRONAN, NOT FOUND, LIQD 500 ML x 1, PLB
68420, GASTROPEPT , GASTROPEPT, NOT FOUND, CPR 230 MG x 20, PLB
68419, GASTROPEPT , GASTROPEPT, NOT FOUND, SUSP 81.9 MG 150 ML x 1 (/5ML), PLB
75299, GINKGOMENIL , GINKGOMENIL, NOT FOUND, CPR 80 MG x 30, PLB
68047, GLYCELAX , GLYCELAX, NOT FOUND, SUP AD 1.80 G x 6, PLB
68048, GLYCELAX , GLYCELAX, NOT FOUND, SUP INF 1.65 G x 6, PLB
89168, GUACONAT , GUACONAT, NOT FOUND, XAROPE 0.032 MG 150 ML x 1 (/ML), PLB
