11078, VICK INHALADOR , VICK INHALADOR, NOT FOUND, INAL NASAL 0.50 G x 1, PRG
51528, VICK INHALADOR , VICK INHALADOR, NOT FOUND, INAL NASAL 0.50 G x 12, PRG
51223, VICK PASTILHA , VICK PASTILHA, NOT FOUND, CEREJA. x 120, PRG
51450, VICK PASTILHA , VICK PASTILHA, NOT FOUND, CEREJA. x 20, PRG
51224, VICK PASTILHA , VICK PASTILHA, NOT FOUND, LARANJA. x 120, PRG
50670, VICK PASTILHA , VICK PASTILHA, NOT FOUND, LARANJA. x 20, PRG
51225, VICK PASTILHA , VICK PASTILHA, NOT FOUND, LIMAO. x 120, PRG
50671, VICK PASTILHA , VICK PASTILHA, NOT FOUND, LIMAO. x 20, PRG
51226, VICK PASTILHA , VICK PASTILHA, NOT FOUND, MENTOL. x 120, PRG
50669, VICK PASTILHA , VICK PASTILHA, NOT FOUND, MENTOL. x 20, PRG
75774, VICK PASTILHA , VICK PASTILHA, NOT FOUND, PAST MA/CA x 120, PRG
80321, VICK PASTILHA , VICK PASTILHA, NOT FOUND, PAST MISTA 40 G x 96, PRG
66460, VICK PYRENA , VICK PYRENA, NOT FOUND, PO ENV M/LIM 100 MG 5 G x 5 (/G), PRG
71683, VICK PYRENA , VICK PYRENA, NOT FOUND, PO ENV.CAMOM 500 MG 5 G x 50, PRG
75837, VICK PYRENA , VICK PYRENA, NOT FOUND, PO ENV.MA/CA 500 MG 5 G x 5, PRG
75775, VICK PYRENA , VICK PYRENA, NOT FOUND, PO ENV.MA/CA 500 MG 5 G x 50, PRG
51990, VICK PYRENA , VICK PYRENA, NOT FOUND, PO ENVELOPE 100 MG 5 G x 50 (/G), PRG
52255, VICK VAPORUB , VICK VAPORUB, NOT FOUND, POM. 12 G x 1, PRG
61842, VICK VAPORUB , VICK VAPORUB, NOT FOUND, POM. 30 G x 1, PRG
59928, VICK VAPORUB , VICK VAPORUB, NOT FOUND, POM. 50 G x 1, PRG
51991, VICK XAROPE , VICK XAROPE, NOT FOUND, XAROPE 120 ML x 1, PRG
59326, VICK XAROPE 44E , VICK XAROPE 44E, NOT FOUND, XAROPE 120 ML x 1, PRG
73463, VICK XAROPE 44E , VICK XAROPE 44E, NOT FOUND, XAROPE CAMOM 120 ML x 1, PRG
63917, VICK-MEL , VICK MEL, NOT FOUND, XAROPE 120 ML x 1, PRG
63918, VICK-MEL , VICK MEL, NOT FOUND, XAROPE 240 ML x 1, PRG
