68392; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 100; PZ8
62110; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 20; PZ8
73308; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; PZ8
73309; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 360; PZ8
62111; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 500; PZ8
68393; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 100; PZ8
89287; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 280; PZ8
73307; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 300; PZ8
62113; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 480; PZ8
62112; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 24; PZ8
62114; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); PZ8
62115; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 200 (/ML); PZ8
73900; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACHETS 500 MG 5 G x 5; PZ8
73645; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACHETS 500 MG 5 G x 50; PZ8
112792; PERMETRINA MG ; PERMETRINA; PERMETRINA; LOC. 10 % 60 ML x 1; PZ8
71945; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; PZ8
71946; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 300; PZ8
84233; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 80; PZ8
77037; POLIBIOTIC ; POLIBIOTIC; NOT FOUND; CAPS 250 MG x 20; PZ8
65992; POLIBIOTIC ; POLIBIOTIC; NOT FOUND; CPR 250 MG x 300; PZ8
62117; POLIBIOTIC ; POLIBIOTIC; NOT FOUND; SUSP ORAL 200 MG 80 ML x 1 (/5ML); PZ8
68436; POLIBIOTIC ; POLIBIOTIC; NOT FOUND; SUSP ORAL 200 MG 80 ML x 50 (/5ML); PZ8
75310; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.LARAN 28 G x 50; PZ8
72599; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.LARAN 28.4 G x 4; PZ8
70503; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.TRAD 27.9 G x 200; PZ8
70443; PRATI SAL ; PRATI SAL; NOT FOUND; PO ENV.TRAD 27.9 G x 4; PZ8
