63175, DARBIN , DARBIN, NOT FOUND, AMP+SOLV 100 MG 5 ML x 10, P_F
63176, DARBIN , DARBIN, NOT FOUND, AMP+SOLV 500 MG 10 ML x 2, P_F
50039, DARROWCOR , DARROWCOR, NOT FOUND, CPR 0.25 MG x 20, P_F
56699, DERMACARE , DERMACARE, NOT FOUND, CREME 15 G x 1, P_F
56700, DERMACARE , DERMACARE, NOT FOUND, POM. 15 G x 1, P_F
64142, DUCRAY ARGEAL , DUCRAY ARGEAL, NOT FOUND, SH CREME 150 ML x 1, P_F
68233, DUCRAY LACTOCERAT , DUCRAY LACTOCERAT, NOT FOUND, COND C/SECO 150 ML x 1, P_F
69480, DUCRAY LACTOCERAT , DUCRAY LACTOCERAT, NOT FOUND, EMULS 100 ML x 1, P_F
68234, DUCRAY LACTOCERAT , DUCRAY LACTOCERAT, NOT FOUND, MASC U/NUT 150 ML x 1, P_F
69142, DUCRAY LACTOCERAT , DUCRAY LACTOCERAT, NOT FOUND, SHAMP C/SECO 125 ML x 1, P_F
64189, DUCRAY SABAL , DUCRAY SABAL, NOT FOUND, XAMP 125 ML x 1, P_F
66183, DUCRAY SELEGEL , DUCRAY SELEGEL, NOT FOUND, SHAMP A/CASP 125 ML x 1, P_F
