62830; LANSOHEXAL ; LANSOHEXAL; NOT FOUND; CAPS 30 MG x 14; SDZ
62829; LANSOHEXAL ; LANSOHEXAL; NOT FOUND; CAPS 30 MG x 7; SDZ
61610; LECTRUM ; LECTRUM; NOT FOUND; F.AMP LIOF 3.75 MG x 1; SDZ
61609; LECTRUM ; LECTRUM; NOT FOUND; F.AMP LIOF 7.50 MG x 1; SDZ
73690; LEVOBIOT ; LEVOBIOT; NOT FOUND; CPR REVEST 250 MG x 7; SDZ
73689; LEVOBIOT ; LEVOBIOT; NOT FOUND; CPR REVEST 500 MG x 10; SDZ
73691; LEVOBIOT ; LEVOBIOT; NOT FOUND; CPR REVEST 500 MG x 3; SDZ
73723; LEVOBIOT ; LEVOBIOT; NOT FOUND; CPR REVEST 500 MG x 7; SDZ
71614; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 250 MG x 7; SDZ
71617; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 10; SDZ
71615; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 3; SDZ
71616; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; SDZ
62026; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; SDZ
62027; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; SDZ
62025; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; SDZ
66031; LISINORETIC ; LISINORETIC; NOT FOUND; CPR 10 MG x 30 (/12.); SDZ
64513; LISINORETIC ; LISINORETIC; NOT FOUND; CPR 20 MG x 30 (/12.); SDZ
62589; LISINOVIL ; LISINOVIL; NOT FOUND; CPR 10 MG x 30; SDZ
62591; LISINOVIL ; LISINOVIL; NOT FOUND; CPR 20 MG x 30; SDZ
62590; LISINOVIL ; LISINOVIL; NOT FOUND; CPR 5 MG x 30; SDZ
80313; LIVIPARK ; LIVIPARK; NOT FOUND; CPR 0.125 MG x 30; SDZ
58603; LORATADINA MG ; LORATADINA; LORATADINA; CPR 10 MG x 10; SDZ
59726; LORATADINA MG ; LORATADINA; LORATADINA; CPR 10 MG x 12; SDZ
59723; LORSACOR ; LORSACOR; NOT FOUND; CPR REVEST 50 MG x 14; SDZ
59724; LORSACOR ; LORSACOR; NOT FOUND; CPR REVEST 50 MG x 28; SDZ
73692; LORSACOR ; LORSACOR; NOT FOUND; CPR REVEST 50 MG x 30; SDZ
72123; LORSACOR ; LORSACOR; NOT FOUND; CPR REVEST 50 MG x 60; SDZ
72334; LORSAR HCT ; LORSAR HCT; NOT FOUND; CPR REVEST 12.5 MG x 28 (/50); SDZ
61528; LORSAR HCT ; LORSAR HCT; NOT FOUND; CPR REVEST 12.5 MG x 30 (/50); SDZ
161194; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 50 MG x 30 (/12.); SDZ
67401; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 14; SDZ
67400; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 28; SDZ
65116; LOVASTATINA MG ; LOVASTATINA; LOVASTATINA; CPR 10 MG x 30; SDZ
65117; LOVASTATINA MG ; LOVASTATINA; LOVASTATINA; CPR 20 MG x 30; SDZ
66316; LOVASTATINA MG ; LOVASTATINA; LOVASTATINA; CPR 40 MG x 10; SDZ
76509; LUFISAN ; LUFISAN; NOT FOUND; CPR 40 MG x 20; SDZ
76510; LUFISAN ; LUFISAN; NOT FOUND; GOTAS 75 MG 15 ML x 1 (/ML); SDZ
