112060; RABEPRAZOL SODI MG ; RABEPRAZOL SODI; RABEPRAZOL SODICO; CPR REV LR 10 MG x 14; SDZ
112066; RABEPRAZOL SODI MG ; RABEPRAZOL SODI; RABEPRAZOL SODICO; CPR REV LR 20 MG x 14; SDZ
112069; RABEPRAZOL SODI MG ; RABEPRAZOL SODI; RABEPRAZOL SODICO; CPR REV LR 20 MG x 28; SDZ
64112; RAMIPRIL MG ; RAMIPRIL; RAMIPRIL; CPR 2.50 MG x 30; SDZ
64113; RAMIPRIL MG ; RAMIPRIL; RAMIPRIL; CPR 5 MG x 30; SDZ
55921; RANIBLOK ; RANIBLOK; NOT FOUND; CPR 150 MG x 20; SDZ
55923; RANIBLOK ; RANIBLOK; NOT FOUND; CPR 300 MG x 16; SDZ
75910; RAZAPINA ; RAZAPINA; NOT FOUND; CPR REVEST 30 MG x 14; SDZ
75911; RAZAPINA ; RAZAPINA; NOT FOUND; CPR REVEST 30 MG x 28; SDZ
75909; RAZAPINA ; RAZAPINA; NOT FOUND; CPR REVEST 30 MG x 7; SDZ
75908; RAZAPINA ; RAZAPINA; NOT FOUND; CPR REVEST 45 MG x 28; SDZ
95816; RAZAPINA ODT ; RAZAPINA ODT; NOT FOUND; CPR ORODISPE 15 MG x 28; SDZ
95813; RAZAPINA ODT ; RAZAPINA ODT; NOT FOUND; CPR ORODISPE 15 MG x 7; SDZ
95814; RAZAPINA ODT ; RAZAPINA ODT; NOT FOUND; CPR ORODISPE 30 MG x 14; SDZ
95817; RAZAPINA ODT ; RAZAPINA ODT; NOT FOUND; CPR ORODISPE 30 MG x 28; SDZ
95815; RAZAPINA ODT ; RAZAPINA ODT; NOT FOUND; CPR ORODISPE 45 MG x 28; SDZ
75054; REDULIP ; REDULIP; NOT FOUND; CAPS 10 MG x 30; SDZ
72629; REDULIP ; REDULIP; NOT FOUND; CAPS 15 MG x 30; SDZ
85254; RILUZOL MG ; RILUZOL; RILUZOL; CPR REVEST 50 MG x 60; SDZ
100868; RISPALUM ; RISPALUM; NOT FOUND; CPR 1 MG x 20; SDZ
100869; RISPALUM ; RISPALUM; NOT FOUND; CPR 1 MG x 60; SDZ
100870; RISPALUM ; RISPALUM; NOT FOUND; CPR 2 MG x 20; SDZ
100871; RISPALUM ; RISPALUM; NOT FOUND; CPR 3 MG x 20; SDZ
64720; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; CPR REVEST 1 MG x 20; SDZ
71621; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; CPR REVEST 1 MG x 60; SDZ
64721; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; CPR REVEST 2 MG x 20; SDZ
64722; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; CPR REVEST 3 MG x 20; SDZ
109704; RIVASTIGMINA MG ; RIVASTIGMINA; RIVASTIGMINA; CAPS 1.50 MG x 28; SDZ
109710; RIVASTIGMINA MG ; RIVASTIGMINA; RIVASTIGMINA; CAPS 3 MG x 28; SDZ
109712; RIVASTIGMINA MG ; RIVASTIGMINA; RIVASTIGMINA; CAPS 4.50 MG x 28; SDZ
109713; RIVASTIGMINA MG ; RIVASTIGMINA; RIVASTIGMINA; CAPS 6 MG x 28; SDZ
85683; ROSULIB ; ROSULIB; NOT FOUND; CPR REVEST 10 MG x 10; SDZ
85684; ROSULIB ; ROSULIB; NOT FOUND; CPR REVEST 10 MG x 30; SDZ
85685; ROSULIB ; ROSULIB; NOT FOUND; CPR REVEST 20 MG x 30; SDZ
83367; ROSUVASTATI CAL MG ; ROSUVASTATI CAL; NOT FOUND; CPR REVEST 10 MG x 30; SDZ
83370; ROSUVASTATI CAL MG ; ROSUVASTATI CAL; NOT FOUND; CPR REVEST 20 MG x 30; SDZ
64591; ROXITROMICINA MG ; ROXITROMICINA; ROXITROMICINA; CPR REVEST 300 MG x 5; SDZ
