49141, CALCI-PED , CALCI PED, NOT FOUND, SUSP 250 ML x 1, STF
54476, CETONIL , CETONIL, NOT FOUND, CREME 2 % 30 G x 1, STF
50225, CETONIL SHAMPOO , CETONIL SHAMPOO, NOT FOUND, XAMP 2 % 100 ML x 1, STF
69224, CLARIDERM , CLARIDERM, NOT FOUND, CR.ANT/SINAI 30 G x 1, STF
52185, CLARIDERM , CLARIDERM, NOT FOUND, CREME 2 % 30 G x 1, STF
58830, CLARIDERM , CLARIDERM, NOT FOUND, GEL. 30 G x 1, STF
74059, CLARIDERM CLEAR , CLARIDERM CLEAR, NOT FOUND, CR SER FPS18 30 G x 1, STF
112078, CLARIDERM PROFESSI , CLARIDERM PROFESSI, NOT FOUND, G C CLAR F18 60 G x 1, STF
53035, CLARIPEL , CLARIPEL, NOT FOUND, CREME 4 % 30 G x 1, STF
59183, CLARIPEL ACQUAGEL , CLARIPEL ACQUAGEL, NOT FOUND, GEL. 4 % 30 G x 1, STF
52736, CLINAGEL , CLINAGEL, NOT FOUND, GEL. 10 MG 45 G x 1 (/G), STF
137603, CLINDO P A , CLINDO P A, NOT FOUND, LOC DAY F20 50 ML x 1, STF
137601, CLINDO P A , CLINDO P A, NOT FOUND, MOUSSE CLEAN 60 G x 1, STF
159380, CLINDO P A , CLINDO P A, NOT FOUND, SAB LIQ FAC 60 ML x 1, STF
112614, CLINDO P A , CLINDO P A, NOT FOUND, SABAO 100 G x 1, STF
62604, CLINDOXYL , CLINDOXYL, NOT FOUND, GEL. 30 G x 1, STF
74758, CLINDOXYL , CLINDOXYL, NOT FOUND, GEL. 45 G x 1, STF
94535, CLINDOXYL CONTROL , CLINDOXYL CONTROL, NOT FOUND, GEL 10 % 45 G x 1, STF
94534, CLINDOXYL CONTROL , CLINDOXYL CONTROL, NOT FOUND, GEL 5 % 45 G x 1, STF
