63875; FISIOGEL ; FISIOGEL; NOT FOUND; CREME 60 G x 1; STF
64178; FISIOGEL ; FISIOGEL; NOT FOUND; LOC CREMOSA 120 ML x 1; STF
71890; FISIOGEL ; FISIOGEL; NOT FOUND; LOC CREMOSA 240 ML x 1; STF
89077; FISIOGEL ; FISIOGEL; NOT FOUND; LOC CREMOSA 500 ML x 1; STF
66565; FISIOGEL AI ; FISIOGEL AI; NOT FOUND; CREME 30 G x 1; STF
94914; FISIOGEL AI ; FISIOGEL AI; NOT FOUND; LOC CR PUMP 500 ML x 1; STF
73639; FISIOGEL AI ; FISIOGEL AI; NOT FOUND; LOC. 120 ML x 1; STF
78972; FISIOGEL AI ; FISIOGEL AI; NOT FOUND; LOC.CREMOSA 240 ML x 1; STF
125575; FISIOGEL BA LIPIDI ; FISIOGEL BA LIPIDI; NOT FOUND; LOCAO 200 ML x 1; STF
83984; FISIOGEL CLEANSER ; FISIOGEL CLEANSER; NOT FOUND; LOC. 250 ML x 1; STF
72258; FISIOGEL SAB LIQD ; FISIOGEL SAB LIQD; NOT FOUND; LIQD 150 ML x 1; STF
83985; FISIOGEL SHAMPOO ; FISIOGEL SHAMPOO; NOT FOUND; SHAMPOO 250 ML x 1; STF
53040; FLOGIN-PED ; FLOGIN PED; NOT FOUND; GOTAS 50 MG 15 ML x 1 (/ML); STF
56157; FLUTIVATE ; FLUTIVATE; NOT FOUND; CREME 0.05 % 15 G x 1; STF
56158; FLUTIVATE ; FLUTIVATE; NOT FOUND; POM. 0.05 % 15 G x 1; STF
