4238, FALMONOX , FALMONOX, NOT FOUND, CPR 100 MG x 15, S_A
28619, FALMONOX , FALMONOX, NOT FOUND, CPR 500 MG x 3, S_A
4239, FALMONOX , FALMONOX, NOT FOUND, SUSP 50 MG 90 ML x 1 (/5ML), S_A
74760, FASTURTEC , FASTURTEC, NOT FOUND, F.AMP 1.50 MG 1 ML x 3, S_A
4303, FENERGAN , FENERGAN, NOT FOUND, AMP. 50 MG 2 ML x 25, S_A
4301, FENERGAN , FENERGAN, NOT FOUND, DRAG 25 MG x 20, S_A
61867, FENERGAN EXPT , FENERGAN EXPT, NOT FOUND, XAROPE 100 ML x 1 (ADLT), S_A
61868, FENERGAN EXPT , FENERGAN EXPT, NOT FOUND, XAROPE 100 ML x 1 (PAED), S_A
73553, FENITOINA MG , FENITOINA, FENITOINA, CPR 100 MG x 25, S_A
73554, FENOBARBITAL MG , FENOBARBITAL, FENOBARBITAL, CPR 100 MG x 20, S_A
4444, FLAGYL , FLAGYL, NOT FOUND, CPR 250 MG x 20, S_A
47449, FLAGYL , FLAGYL, NOT FOUND, F.AMP PLAST 500 MG 100 ML x 1, S_A
55379, FLAGYL , FLAGYL, NOT FOUND, GEL VAG+10AP 500 MG 50 G x 1, S_A
59227, FLAGYL , FLAGYL, NOT FOUND, SUSP PED 40 MG 100 ML x 1 (/ML), S_A
31737, FLAGYL 400 , FLAGYL 400, NOT FOUND, CPR 400 MG x 24, S_A
55380, FLAGYL NISTATINA , FLAGYL NISTATINA, NOT FOUND, CR.VAG.10APL 50 G x 1, S_A
74401, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN ORAL 1.34 MG 100 ML x 1 (/, S_A
4630, FRANOL , FRANOL, NOT FOUND, CPR x 100, S_A
4632, FRANOL , FRANOL, NOT FOUND, XAR. INF 60 ML x 1, S_A
30006, FRISIUM , FRISIUM, NOT FOUND, CPR 10 MG x 20, S_A
31085, FRISIUM , FRISIUM, NOT FOUND, CPR 20 MG x 20, S_A
4698, FUNGOL , FUNGOL, NOT FOUND, LOC. 30 ML x 1, S_A
75024, FUROSEMIDA MG , FUROSEMIDA, FUROSEMIDA, CPR 40 MG x 20, S_A
