112419, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15, TNT
108210, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 30, TNT
112802, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 15, TNT
106856, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, TNT
112420, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 15, TNT
108214, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 30, TNT
108225, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 15 MG x 30, TNT
108227, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 30 MG x 30, TNT
108229, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 45 MG x 30, TNT
61817, CLONOTRIL , CLONOTRIL, NOT FOUND, CPR 0.50 MG x 20, TNT
61818, CLONOTRIL , CLONOTRIL, NOT FOUND, CPR 2 MG x 20, TNT
108237, CLOR NEBIVOLOL MG , CLOR NEBIVOLOL, CLORIDRATO NEBIVOLOL, CPR 5 MG x 30, TNT
108239, CLOR.DONEPEZILA MG , CLOR DONEPEZILA, CLORIDRATO DONEPEZILA, CPR REVEST 10 MG x 30, TNT
108238, CLOR.DONEPEZILA MG , CLOR DONEPEZILA, CLORIDRATO DONEPEZILA, CPR REVEST 5 MG x 30, TNT
