72463; ECATOR ; ECATOR; NOT FOUND; CAPS 10 MG x 30; TNT
64687; ECATOR ; ECATOR; NOT FOUND; CAPS 2.50 MG x 30; TNT
64688; ECATOR ; ECATOR; NOT FOUND; CAPS 5 MG x 30; TNT
98208; ECATOR ANLO ; ECATOR ANLO; NOT FOUND; CPR 2.50 MG x 30 (/5); TNT
98210; ECATOR ANLO ; ECATOR ANLO; NOT FOUND; CPR 5 MG x 10 (/5); TNT
98211; ECATOR ANLO ; ECATOR ANLO; NOT FOUND; CPR 5 MG x 30 (/5); TNT
72118; ECATOR H ; ECATOR H; NOT FOUND; CPR 5 MG x 30 (/25); TNT
78292; EPEZ ; EPEZ; NOT FOUND; CPR 10 MG x 30; TNT
78290; EPEZ ; EPEZ; NOT FOUND; CPR 5 MG x 10; TNT
78291; EPEZ ; EPEZ; NOT FOUND; CPR 5 MG x 30; TNT
79791; ESPRAN ; ESPRAN; NOT FOUND; CPR.REV. 10 MG x 10; TNT
79792; ESPRAN ; ESPRAN; NOT FOUND; CPR.REV. 10 MG x 30; TNT
