68438, SECNIDAZOL MG , SECNIDAZOL, SECNIDAZOL, CPR 1 G x 2, TTB
68439, SECNIDAZOL MG , SECNIDAZOL, SECNIDAZOL, CPR 1 G x 4, TTB
53167, SEDALEX , SEDALEX, NOT FOUND, CPR x 200, TTB
71090, SEDALEX , SEDALEX, NOT FOUND, CPR x 240, TTB
78943, SEDALEX , SEDALEX, NOT FOUND, CPR x 30, TTB
53168, SEDALEX , SEDALEX, NOT FOUND, SOLN ORAL 15 ML x 1, TTB
98685, SEDALEX , SEDALEX, NOT FOUND, SOLN ORAL 20 ML x 1, TTB
51442, SEDALGINA , SEDALGINA, NOT FOUND, DRAG x 20, TTB
53169, SEDALGINA , SEDALGINA, NOT FOUND, DRAG x 200, TTB
112805, SEDALGINA , SEDALGINA, NOT FOUND, DRAG x 30, TTB
98684, SEDALGINA , SEDALGINA, NOT FOUND, DRAG x 60, TTB
87182, SEDILAX , SEDILAX, NOT FOUND, CPR x 15, TTB
69237, SEDILAX , SEDILAX, NOT FOUND, CPR x 200, TTB
53170, SEDILAX , SEDILAX, NOT FOUND, CPR x 30, TTB
87180, SEDILAX , SEDILAX, NOT FOUND, CPR x 4, TTB
101297, SEGURDENT , SEGURDENT, NOT FOUND, CR ADE MENTA 40 G x 1, TTB
95200, SEGURDENT , SEGURDENT, NOT FOUND, CR ADES DENT 20 G x 1, TTB
95202, SEGURDENT , SEGURDENT, NOT FOUND, CR ADES DENT 40 G x 1, TTB
101298, SEGURDENT , SEGURDENT, NOT FOUND, CR ADES DENT 48 G x 1, TTB
95203, SEGURDENT , SEGURDENT, NOT FOUND, PO ADES DENT 20 G x 1, TTB
92530, SIMETICONA MG , SIMETICONA, SIMETICONA, CAPS 125 MG x 10, TTB
95234, SIMETICONA MG , SIMETICONA, SIMETICONA, CAPS 125 MG x 90, TTB
87183, SIMETICONA MG , SIMETICONA, SIMETICONA, CPR 40 MG x 100, TTB
75255, SIMETICONA MG , SIMETICONA, SIMETICONA, CPR 40 MG x 20, TTB
74087, SIMETICONA MG , SIMETICONA, SIMETICONA, GOTAS 75 MG 10 ML x 200 (/ML), TTB
73679, SIMETICONA MG , SIMETICONA, SIMETICONA, GOTAS 75 MG 15 ML x 1 (/ML), TTB
80512, SOROLIV , SOROLIV, NOT FOUND, SOLN NA HP 3 % 60 ML x 1, TTB
53899, SOROLIV , SOROLIV, NOT FOUND, SOLN NASAL 30 ML x 1, TTB
73700, SOROLIV ADULTO , SOROLIV ADULTO, NOT FOUND, SOLN NASAL 30 ML x 1, TTB
78264, SORRIAH , SORRIAH, NOT FOUND, LIQ MENTA 250 ML x 1, TTB
85688, SORRIAH , SORRIAH, NOT FOUND, LIQ TRAD 250 ML x 1, TTB
78263, SORRIAH , SORRIAH, NOT FOUND, LIQ.COOL MIN 250 ML x 1, TTB
56228, STRESSAN , STRESSAN, NOT FOUND, CPR REVEST 600 MG x 30, TTB
70014, SULF AMICACINA MG , SULF AMICACINA, NOT FOUND, F.AMP 250 MG 2 ML x 50 (/ML), TTB
75996, SULF AMICACINA MG , SULF AMICACINA, NOT FOUND, F.AMP 50 MG 2 ML x 50 (/ML), TTB
56229, SULF SALBUTAMOL MG , SULF SALBUTAMOL, NOT FOUND, XAROPE 2 MG 120 ML x 1 (/5ML), TTB
75468, SULF SALBUTAMOL MG , SULF SALBUTAMOL, NOT FOUND, XAROPE 2 MG 120 ML x 50 (/5ML), TTB
75770, SULF.NEOM+BACIT.MG , SULF NEOM BACIT, NOT FOUND, POM. 15 G x 1, TTB
75772, SULF.NEOM+BACIT.MG , SULF NEOM BACIT, NOT FOUND, POM. 15 G x 50, TTB
75771, SULF.NEOM+BACIT.MG , SULF NEOM BACIT, NOT FOUND, POM. 50 G x 1, TTB
76094, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, CPR 400 MG x 100 (/80), TTB
58065, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, CPR 400 MG x 20 (/80), TTB
77908, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, CPR 800 MG x 10 (/160), TTB
63055, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, SUSP 240 MG 100 ML x 1 (/5ML), TTB
75161, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, SUSP 240 MG 100 ML x 50 (/5ML), TTB
75467, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, SUSP 240 MG 50 ML x 50 (/5ML), TTB
