70331, AC DEXAMETASONA MG , AC DEXAMETASONA, ACETATO DEXAMETASONA, CREME 1 MG 10 G x 1 (/G), U_Q
68775, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. 25 MG 120 ML x 1 (/5ML), U_Q
111570, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XPE ADLT 50 MG 120 ML x 1 (/5ML), U_Q
70332, ACET.HIDROCORTI.MG , ACET HIDROCORTI, ACETATO HIDROCORTISONA, CREME 10 MG 20 G x 1 (/G), U_Q
68794, ACETILCIST.INJ MG , ACETILCIST INJ, NOT FOUND, AMP. 10 % 3 ML x 5, U_Q
67921, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. 20 MG 120 ML x 1 (/ML), U_Q
69423, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), U_Q
41871, ACURITYBINA , ACURITYBINA, NOT FOUND, GOTAS 100 MG 5 ML x 1, U_Q
53952, ACURITYBINA , ACURITYBINA, NOT FOUND, LIQD 12 ML x 1, U_Q
41872, ACURITYBINA , ACURITYBINA, NOT FOUND, PASTA 280 MG 13 G x 1, U_Q
64708, ALIVE , ALIVE, NOT FOUND, SOLN NASAL 30 ML x 1, U_Q
117569, ALLFORT , ALLFORT, NOT FOUND, CPR x 30, U_Q
75526, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 15, U_Q
75525, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, U_Q
75524, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 30, U_Q
64390, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), U_Q
64391, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 500 MG 150 ML x 1 (/5ML), U_Q
667, ANDRIODERMOL , ANDRIODERMOL, NOT FOUND, LIQD 50 ML x 1, U_Q
668, ANDRIODERMOL , ANDRIODERMOL, NOT FOUND, PO 50 G x 1, U_Q
59348, ARES , ARES, NOT FOUND, SOLN INALT 0.25 MG 20 ML x 1 (/ML), U_Q
50107, ARTRINID , ARTRINID, NOT FOUND, A.IM 100 MG 2 ML x 50, U_Q
46767, ARTRINID , ARTRINID, NOT FOUND, CAPS 50 MG x 24, U_Q
68643, ARTRINID , ARTRINID, NOT FOUND, F.IV LIOF 100 MG 2 ML x 50, U_Q
47921, AZIRAM , AZIRAM, NOT FOUND, SUSP 60 MG 150 ML x 1 (/ML), U_Q
113086, AZIRAM , AZIRAM, NOT FOUND, SUSP HORT 60 MG 240 ML x 1 (/ML), U_Q
