47368; CARDALIN RETARD ; CARDALIN RETARD; NOT FOUND; CPR 20 MG x 30; ABT
58689; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; ABT
50788; CETRIZIN ; CETRIZIN; NOT FOUND; CPR REVEST 10 MG x 6; ABT
51235; CETRIZIN ; CETRIZIN; NOT FOUND; GOTAS 10 MG 7 ML x 1 (/ML); ABT
59562; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 10; ABT
59565; CLOR.TERAZOSINA MG ; CLOR TERAZOSINA; CLORIDRATO TERAZOSINA; CPR 5 MG x 15; ABT
48618; COBAVITAL ; COBAVITAL; NOT FOUND; GRAN P/XPE 100 ML x 1; ABT
27732; COBAVITAL ; COBAVITAL; NOT FOUND; MICROCOMPRID x 16; ABT
103453; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 10 MG x 30; ABT
103452; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 20 MG x 30; ABT
103451; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 40 MG x 30; ABT
103449; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 80 MG x 30; ABT
103460; COREDIOL ; COREDIOL; NOT FOUND; CPR 12.5 MG x 15; ABT
103461; COREDIOL ; COREDIOL; NOT FOUND; CPR 12.5 MG x 30; ABT
103462; COREDIOL ; COREDIOL; NOT FOUND; CPR 25 MG x 15; ABT
103463; COREDIOL ; COREDIOL; NOT FOUND; CPR 25 MG x 30; ABT
103455; COREDIOL ; COREDIOL; NOT FOUND; CPR 3.12 MG x 15; ABT
103456; COREDIOL ; COREDIOL; NOT FOUND; CPR 3.12 MG x 30; ABT
103457; COREDIOL ; COREDIOL; NOT FOUND; CPR 6.25 MG x 15; ABT
103458; COREDIOL ; COREDIOL; NOT FOUND; CPR 6.25 MG x 30; ABT
61242; CREON ; CREON; NOT FOUND; CAPS ENTERIC 10 K x 100; ABT
61241; CREON ; CREON; NOT FOUND; CAPS ENTERIC 10 K x 30; ABT
61243; CREON ; CREON; NOT FOUND; CAPS ENTERIC 25 K x 30; ABT
51687; CYNT ; CYNT; NOT FOUND; DRAG 0.20 MG x 30; ABT
51688; CYNT ; CYNT; NOT FOUND; DRAG 0.40 MG x 30; ABT
