28937; IBERIN FOLICO GRAD ; IBERIN FOLICO GRAD; NOT FOUND; GRADUMET 500 MG x 30; ABT
28889; IBEROL 500 ; IBEROL 500; NOT FOUND; GRADUMET x 30; ABT
5519; IBEROL 500 ; IBEROL 500; NOT FOUND; LIQD 120 ML x 1; ABT
48204; IRUXOL ; IRUXOL; NOT FOUND; POM. 0.60 IU 15 G x 1 (/G); ABT
27622; IRUXOL ; IRUXOL; NOT FOUND; POM. 0.60 IU 30 G x 1 (/G); ABT
74913; IRUXOL ; IRUXOL; NOT FOUND; POM. 0.60 IU 30 G x 50 (/G); ABT
48294; IRUXOL ; IRUXOL; NOT FOUND; POM. 0.60 IU 50 G x 1 (/G); ABT
54011; IRUXOL MONO ; IRUXOL MONO; NOT FOUND; POM. 1.20 IU 15 G x 1 (/G); ABT
54012; IRUXOL MONO ; IRUXOL MONO; NOT FOUND; POM. 1.20 IU 30 G x 1 (/G); ABT
99987; IRUXOL MONO ; IRUXOL MONO; NOT FOUND; POM. 1.20 IU 30 G x 50 (/G); ABT
49428; ISOMIL ; ISOMIL; NOT FOUND; PO 400 G x 1; ABT
77829; ISOMIL ADVANCE 1 ; ISOMIL ADVANCE 1; NOT FOUND; PO S/LACTOSE 400 G x 1; ABT
77830; ISOMIL ADVANCE 2 ; ISOMIL ADVANCE 2; NOT FOUND; PO SOJA 400 G x 1; ABT
