78241; VAC CJ PNEUMOC 13V ; VAC CJ PNEUMOC 13V; NOT FOUND; SER.PRE-ENCH 0.50 ML x 1; PFZ
57792; VAC CJ PNEUMOCOC ; VAC CJ PNEUMOCOC; NOT FOUND; F.IM+SER.DOS 0.50 ML x 1; PFZ
71699; VAC CJ PNEUMOCOC ; VAC CJ PNEUMOCOC; NOT FOUND; SER.PRE-ENCH 0.50 ML x 1; PFZ
73371; VAC MENIG CJ GR C ; VAC MENIG CJ GR C; NOT FOUND; SER.PRELL 10 Y 0.50 ML x 1; PFZ
61807; VFEND ; VFEND; NOT FOUND; CPR REVEST 200 MG x 14; PFZ
61806; VFEND ; VFEND; NOT FOUND; CPR REVEST 50 MG x 14; PFZ
61808; VFEND ; VFEND; NOT FOUND; F.AMP INFUS 200 MG 20 ML x 1; PFZ
53302; VIAGRA ; VIAGRA; NOT FOUND; CPR REVEST 100 MG x 4; PFZ
55091; VIAGRA ; VIAGRA; NOT FOUND; CPR REVEST 25 MG x 4; PFZ
77904; VIAGRA ; VIAGRA; NOT FOUND; CPR REVEST 50 MG x 1; PFZ
68077; VIAGRA ; VIAGRA; NOT FOUND; CPR REVEST 50 MG x 2; PFZ
53301; VIAGRA ; VIAGRA; NOT FOUND; CPR REVEST 50 MG x 4; PFZ
70512; VIAGRA ; VIAGRA; NOT FOUND; CPR REVEST 50 MG x 8; PFZ
50928; VIBRAMICINA ; VIBRAMICINA; NOT FOUND; CPR SOLUVEL 100 MG x 20; PFZ
47568; VIBRAMICINA ; VIBRAMICINA; NOT FOUND; DRAG 100 MG x 15; PFZ
48586; VIBRAMICINA ; VIBRAMICINA; NOT FOUND; DRAG 100 MG x 3; PFZ
56082; VINCIZINA CS ; VINCIZINA CS; NOT FOUND; F.AMP 1 MG 1 ML x 5; PFZ
