88107; PANTOCLER ; PANTOCLER; NOT FOUND; FLAC ABACAXI 10 ML x 12; PLB
98198; PANTOCLER ; PANTOCLER; NOT FOUND; FLAC ABACAXI 10 ML x 60; PLB
67410; PIOLEND ; PIOLEND; NOT FOUND; LIQD 1 % 60 ML x 1; PLB
76619; POEJAN ; POEJAN; NOT FOUND; XAROPE 100 ML x 1; PLB
106833; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV FRAMB 27.9 G x 50; PLB
106153; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV FRAMB 28.5 G x 4; PLB
106836; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV GUARA 27.9 G x 50; PLB
106152; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV GUARA 28.5 G x 4; PLB
106829; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV LARAN 27.9 G x 50; PLB
106154; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV LARAN 28.5 G x 4; PLB
106838; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV UVA 27.9 G x 50; PLB
106151; POLYDRAT ; POLYDRAT; NOT FOUND; PO ENV UVA 28.5 G x 4; PLB
68132; POLYDRAT ; POLYDRAT; NOT FOUND; POLVO ENVELO 27.9 G x 4; PLB
68133; POLYDRAT ; POLYDRAT; NOT FOUND; POLVO ENVELO 27.9 G x 50; PLB
75309; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORA.COLA 450 ML x 1; PLB
68122; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL FRA 450 ML x 1; PLB
71947; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL GUA 450 ML x 1; PLB
68125; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL LAR 450 ML x 1; PLB
68128; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL NAT 450 ML x 1; PLB
68130; POLYDRAT ; POLYDRAT; NOT FOUND; SOL ORAL UVA 450 ML x 1; PLB
79153; PROCTAM ; PROCTAM; NOT FOUND; POM. 25 G x 1; PLB
