43960; BABIX ; BABIX; NOT FOUND; CREME 60 G x 1; STF
48945; BABIX ; BABIX; NOT FOUND; CREME EMOLIE 200 ML x 1; STF
51077; BABIX ; BABIX; NOT FOUND; SABAO 100 G x 1; STF
48731; BABIX ; BABIX; NOT FOUND; XAMP 200 ML x 1; STF
47983; BETADERM ; BETADERM; NOT FOUND; CREME 1 MG 30 G x 1 (/G); STF
47984; BETADERM ; BETADERM; NOT FOUND; LOC.CAPILAR 1 MG 60 ML x 1 (/ML); STF
48031; BETADERM ; BETADERM; NOT FOUND; POM. 1 MG 30 G x 1 (/G); STF
51156; BETADERM N ; BETADERM N; NOT FOUND; CREM.BISNAGA 30 G x 1; STF
1492; BETNOVATE ; BETNOVATE; NOT FOUND; CREME 1 MG 15 G x 1 (/G); STF
1489; BETNOVATE ; BETNOVATE; NOT FOUND; CREME 1 MG 30 G x 1 (/G); STF
48032; BETNOVATE ; BETNOVATE; NOT FOUND; LOC. 1 MG 50 G x 1 (/ML); STF
1496; BETNOVATE ; BETNOVATE; NOT FOUND; POM. 1 MG 15 G x 1 (/G); STF
1495; BETNOVATE ; BETNOVATE; NOT FOUND; POM. 1 MG 30 G x 1 (/G); STF
48261; BETNOVATE ; BETNOVATE; NOT FOUND; SOLN CAPIL 1 MG 50 G x 1 (/ML); STF
1502; BETNOVATE N ; BETNOVATE N; NOT FOUND; CREME 30 G x 1; STF
1509; BETNOVATE N ; BETNOVATE N; NOT FOUND; POM. 30 G x 1; STF
48262; BETNOVATE Q ; BETNOVATE Q; NOT FOUND; CREME 5 MG 30 G x 1; STF
