128681; OLEO DE CARTAMO ; OLEO CARTAMO; NOT FOUND; CAPS 1250 MG x 60; TRJ
152508; OLEO DE CARTAMO ; OLEO CARTAMO; NOT FOUND; CAPS 180+30 1000 MG x 210; TRJ
130404; OLEO DE CARTAMO ; OLEO CARTAMO; NOT FOUND; CAPS 60+10 x 70; TRJ
122876; OLEO DE CARTAMO ; OLEO CARTAMO; NOT FOUND; CAPS x 50; TRJ
121096; OLEO DE CHIA ; OLEO CHIA; NOT FOUND; CAPS 1 G x 60; TRJ
163297; OLEO DE CHIA ; OLEO CHIA; NOT FOUND; CAPS 500 MG x 60; TRJ
125831; OLEO DE CHIA ; OLEO CHIA; NOT FOUND; CAPS 60+10 500 MG x 70; TRJ
146214; OLEO DE CHIA ; OLEO CHIA; NOT FOUND; CAPS x 210; TRJ
148391; OLEO DE COCO ; OLEO COCO; OLEO COCO; CAPS VI E+10 1000 MG x 70; TRJ
119326; OLEO FIG DE BACALH ; OLEO FIG BACALH; OLEO FIGADO BACALHAU; CAPS 250 MG x 110; TRJ
119350; OLEO LINHACA DOURA ; OLEO LINHACA DOURA; NOT FOUND; CAPS 1 G x 100; TRJ
152509; OLEO LINHACA DOURA ; OLEO LINHACA DOURA; NOT FOUND; CAPS 1000 MG x 210; TRJ
134498; OLEO LINHACA DOURA ; OLEO LINHACA DOURA; NOT FOUND; CAPS 1250 MG x 60; TRJ
138875; OLEO LINHACA DOURA ; OLEO LINHACA DOURA; NOT FOUND; CAPS 60+10G 1000 MG x 70; TRJ
121119; OMEGA 3 ; OMEGA 3; NOT FOUND; CAPS 1250 MG x 60; TRJ
125905; OMEGA 3 ; OMEGA 3; NOT FOUND; CAPS 60+10 1000 MG x 70; TRJ
136125; OMEGA 3 ; OMEGA 3; NOT FOUND; CAPS 60+10 500 MG x 70; TRJ
121115; OMEGA PLUS ; OMEGA PLUS; NOT FOUND; CAPS O 3/6/9 x 60; TRJ
121128; OMEGA PLUS ; OMEGA PLUS; NOT FOUND; CAPS x 70; TRJ
