53500; MAGNEZIOL ; MAGNEZIOL; NOT FOUND; LIQD NATURAL 120 ML x 1; TTB
62022; MAL.DEXCLO+BETA.MG ; MAL DEXCLO BETA; NOT FOUND; XAROPE 120 ML x 1; TTB
64278; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; TTB
64280; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; TTB
64277; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 5 MG x 30; TTB
78941; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; CREME 10 MG 30 G x 1 (/G); TTB
57135; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; XAROPE 0.40 MG 100 ML x 1 (/ML); TTB
75463; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; XAROPE 2 MG 100 ML x 50 (/5ML); TTB
70872; MALEATO TIMOLOL MG ; MALEATO TIMOLOL; MALEATO TIMOLOL; SOLN OFTAL 0.50 % 5 ML x 1; TTB
77101; MALEATO TIMOLOL MG ; MALEATO TIMOLOL; MALEATO TIMOLOL; SOLN OFTAL 0.50 % 5 ML x 50; TTB
70074; MARFARIN ; MARFARIN; NOT FOUND; CPR 5 MG x 10; TTB
59818; MATERSUPRE ; MATERSUPRE; NOT FOUND; DRAG x 30; TTB
104594; MAX AIR ; MAX AIR; NOT FOUND; TIRAS GRANDE x 10; TTB
104593; MAX AIR ; MAX AIR; NOT FOUND; TIRAS MEDIA x 10; TTB
56465; MEBENDAZOL MG ; MEBENDAZOL; MEBENDAZOL; CPR 100 MG x 6; TTB
56466; MEBENDAZOL MG ; MEBENDAZOL; MEBENDAZOL; SUSP 100 MG 30 ML x 1 (/5ML); TTB
77102; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 15 MG x 10; TTB
106876; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 7.50 MG x 10; TTB
89914; MEN FENAFLAN PATCH ; MEN FENAFLAN PATCH; NOT FOUND; SACHE ADES x 12; TTB
80428; MENTHOLATU TYLIDOL ; MENTHOLATU TYLIDOL; NOT FOUND; ADESIVO x 12 (ADLT); TTB
80445; MENTHOLATU TYLIDOL ; MENTHOLATU TYLIDOL; NOT FOUND; ADESIVO x 12 (INF); TTB
77892; MESI.DOXAZOSINA MG ; MESI DOXAZOSINA; MESILATO DOXAZOSINA; CPR 2 MG x 30; TTB
158166; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; GE VAG 10APL 100 MG 50 G x 1 (/G); TTB
56613; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; GEL. VAG. 500 MG 50 G x 1 (/5G); TTB
69820; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; GEL. VAG. 500 MG 50 G x 50 (/5G); TTB
57894; MEVAMOX ; MEVAMOX; NOT FOUND; CPR 15 MG x 10; TTB
55755; MEVAMOX ; MEVAMOX; NOT FOUND; CPR 7.50 MG x 10; TTB
58754; MICOSIL ; MICOSIL; NOT FOUND; CREME 1 % 20 G x 1; TTB
162476; MICOZEN ; MICOZEN; NOT FOUND; CR.VAG.14APL 20 MG 80 G x 1 (/G); TTB
53263; MICOZEN ; MICOZEN; NOT FOUND; CR.VAG.C/APL 20 MG 80 G x 1 (/G); TTB
53385; MICOZEN ; MICOZEN; NOT FOUND; LOC. 20 MG 30 ML x 1 (/ML); TTB
131987; MIRTAZAPINA MG ; MIRTAZAPINA; MIRTAZAPINA; CPR ORODISPE 15 MG x 10; TTB
131992; MIRTAZAPINA MG ; MIRTAZAPINA; MIRTAZAPINA; CPR ORODISPE 30 MG x 10; TTB
53140; MUCOXOLAN ; MUCOXOLAN; NOT FOUND; XAR. AD 30 MG 120 ML x 1 (/5ML); TTB
53139; MUCOXOLAN ; MUCOXOLAN; NOT FOUND; XAR. PED. 15 MG 120 ML x 1 (/5ML); TTB
