500501201132417, BRONDILAT, BRONDILAT, NOT FOUND, 10 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML, A4H
500501204131314, BRONDILAT, BRONDILAT, NOT FOUND, 10 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML, A4H
500501202139415, BRONDILAT, BRONDILAT, NOT FOUND, 5 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML, A4H
500501203135316, BRONDILAT, BRONDILAT, NOT FOUND, 5 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML, A4H
500514501113118, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 15, A4H
500514502111119, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/AL X 30, A4H
500510001132412, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, A4H
500510003135419, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , A4H
500510002112415, BENFLOGIN, BENFLOGIN, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 20, A4H
500511901110413, BIOMAG, BIOMAG, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, A4H
500511904111410, BIOMAG, BIOMAG, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAST INC X 30, A4H
500500901114413, BIOFENAC CLR, BIOFENAC CLR, NOT FOUND, 75 MG COM REV CT BL AL PLAS INC X 14, A4H
500513070051103, BIOFENAC, BIOFENAC, NOT FOUND, 11 MG/G SOL C/ PROP (AER) FILME POLIET FR AL PRESSURIZADO C/ VALVULA X 60 G, A4H
500500801179319, BIOFENAC, BIOFENAC, NOT FOUND, 11 MG/G SOL C/ PROP (AER) CT FR AL PRESSURIZADO C/ VALVULA X 60 G, A4H
500500802132413, BIOFENAC, BIOFENAC, NOT FOUND, 44.94 MG ML SOL OR CT FR PLAS OPC GOT X 20 ML, A4H
500500804119414, BIOFENAC, BIOFENAC, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 10, A4H
500500803112416, BIOFENAC, BIOFENAC, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, A4H
500501102118416, BIOFENAC LP, BIOFENAC LP, NOT FOUND, 100 MG CAP GEL DURA C/ MICROG CT BL AL PLAS INC X 10, A4H
500501101111418, BIOFENAC LP, BIOFENAC LP, NOT FOUND, 100 MG CAP GEL DURA C/ MICROG CT BL AL PLAS INC X 20, A4H
500501002113412, BIOFENAC DI, BIOFENAC DI, NOT FOUND, 46.5 MG COM DISP CT 2 STR ALU-ALU X 10, A4H
500501003111413, BIOFENAC DI, BIOFENAC DI, NOT FOUND, 46.5 MG COM DISP CT STR ALU-ALU X 10, A4H
500512030040604, BETADINE, BETADINE, NOT FOUND, 16 MG COM CT BL AL PLAS INC X 30, A4H
500512030040404, BETADINE, BETADINE, NOT FOUND, 16 MG COM CT BL AL PLAS INC X 60, A4H
500512030040504, BETADINE, BETADINE, NOT FOUND, 24 MG COM CT BL AL PLAS INC X 30, A4H
500512030040704, BETADINE, BETADINE, NOT FOUND, 24 MG COM CT BL AL PLAS INC X 60, A4H
500512030040204, BETADINE, BETADINE, NOT FOUND, 8 MG COM CT BL AL PLAS INC X 30, A4H
500512030040304, BETADINE, BETADINE, NOT FOUND, 8 MG COM CT BL AL PLAS INC X 60, A4H
500512080044704, BRAVAN, BRAVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 10 , A4H
500512080044804, BRAVAN, BRAVAN, NOT FOUND, 160 MG COM REV CT BL AL/AL X 30, A4H
500512080044904, BRAVAN, BRAVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 10 , A4H
500512080045004, BRAVAN, BRAVAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 30, A4H
500512080044504, BRAVAN, BRAVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 10 , A4H
500512080044604, BRAVAN, BRAVAN, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, A4H
