500506105115419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506106111417, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506101111419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG + 500MG + 500MG 56 + 28 CAP GEL DURA + COM REV BL AL PLAS INC, A4H
500506102116414, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + BL AL PLAS INC X 20 + BL AL PLAS INC X 40, A4H
500506103112412, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500MG COM REV + 500MG CAP GEL DURA 07 BL AL PLAS INC X 2+2+4, A4H
500510301111313, OSSOPAN, OSSOPAN, NOT FOUND, 100MG/G GRAN CT FR PLAS OPC X 100G , A4H
500510303112414, OSSOPAN, OSSOPAN, NOT FOUND, 200 MG DRG CT FR VD INC X 30, A4H
500506201114411, OSTEORAL, OSTEORAL, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 15, A4H
500512702111116, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 15, A4H
500512701115118, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 30, A4H
500506105115419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506106111417, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506101111419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG + 500MG + 500MG 56 + 28 CAP GEL DURA + COM REV BL AL PLAS INC, A4H
500506102116414, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + BL AL PLAS INC X 20 + BL AL PLAS INC X 40, A4H
500506103112412, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500MG COM REV + 500MG CAP GEL DURA 07 BL AL PLAS INC X 2+2+4, A4H
500510301111313, OSSOPAN, OSSOPAN, NOT FOUND, 100MG/G GRAN CT FR PLAS OPC X 100G , A4H
500510303112414, OSSOPAN, OSSOPAN, NOT FOUND, 200 MG DRG CT FR VD INC X 30, A4H
500506201114411, OSTEORAL, OSTEORAL, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 15, A4H
500512702111116, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 15, A4H
500512701115118, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 30, A4H
500506105115419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506106111417, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506101111419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG + 500MG + 500MG 56 + 28 CAP GEL DURA + COM REV BL AL PLAS INC, A4H
500506102116414, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + BL AL PLAS INC X 20 + BL AL PLAS INC X 40, A4H
500506103112412, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500MG COM REV + 500MG CAP GEL DURA 07 BL AL PLAS INC X 2+2+4, A4H
500510301111313, OSSOPAN, OSSOPAN, NOT FOUND, 100MG/G GRAN CT FR PLAS OPC X 100G , A4H
500510303112414, OSSOPAN, OSSOPAN, NOT FOUND, 200 MG DRG CT FR VD INC X 30, A4H
500506201114411, OSTEORAL, OSTEORAL, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 15, A4H
500512702111116, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 15, A4H
500512701115118, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 30, A4H
500506105115419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506106111417, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506101111419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG + 500MG + 500MG 56 + 28 CAP GEL DURA + COM REV BL AL PLAS INC, A4H
500506102116414, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + BL AL PLAS INC X 20 + BL AL PLAS INC X 40, A4H
500506103112412, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500MG COM REV + 500MG CAP GEL DURA 07 BL AL PLAS INC X 2+2+4, A4H
500510301111313, OSSOPAN, OSSOPAN, NOT FOUND, 100MG/G GRAN CT FR PLAS OPC X 100G , A4H
500510303112414, OSSOPAN, OSSOPAN, NOT FOUND, 200 MG DRG CT FR VD INC X 30, A4H
500506201114411, OSTEORAL, OSTEORAL, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 15, A4H
500512702111116, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 15, A4H
500512701115118, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 30, A4H
500506105115419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506106111417, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506101111419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG + 500MG + 500MG 56 + 28 CAP GEL DURA + COM REV BL AL PLAS INC, A4H
500506102116414, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + BL AL PLAS INC X 20 + BL AL PLAS INC X 40, A4H
500506103112412, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500MG COM REV + 500MG CAP GEL DURA 07 BL AL PLAS INC X 2+2+4, A4H
500510301111313, OSSOPAN, OSSOPAN, NOT FOUND, 100MG/G GRAN CT FR PLAS OPC X 100G , A4H
500510303112414, OSSOPAN, OSSOPAN, NOT FOUND, 200 MG DRG CT FR VD INC X 30, A4H
500506201114411, OSTEORAL, OSTEORAL, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 15, A4H
500512702111116, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 15, A4H
500512701115118, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 30, A4H
500506105115419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506106111417, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20 MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 42 + BL AL PLAS INC X 14 + BL AL PLAS INC X 28 , A4H
500506101111419, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG + 500MG + 500MG 56 + 28 CAP GEL DURA + COM REV BL AL PLAS INC, A4H
500506102116414, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + BL AL PLAS INC X 20 + BL AL PLAS INC X 40, A4H
500506103112412, OMEPRAMIX, OMEPRAMIX, NOT FOUND, 20MG CAP GEL DURA + 500MG COM REV + 500MG CAP GEL DURA 07 BL AL PLAS INC X 2+2+4, A4H
500510301111313, OSSOPAN, OSSOPAN, NOT FOUND, 100MG/G GRAN CT FR PLAS OPC X 100G , A4H
500510303112414, OSSOPAN, OSSOPAN, NOT FOUND, 200 MG DRG CT FR VD INC X 30, A4H
500506201114411, OSTEORAL, OSTEORAL, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 15, A4H
500512702111116, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 15, A4H
