500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904101179411, VISLIN, VISLIN, NOT FOUND, FRASCO C/ 15ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
500904201130317, VIGAMOX, VIGAMOX, NOT FOUND, 5 MG/ML CT FR PLAS TRANS GOT X 5 ML, ALC
500904801138319, VIGADEXA, VIGADEXA, NOT FOUND, 5MG/ML +1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, ALC
