503301201151415, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 10 BOLS PVC TRANS FLEX SIST FECH X 100 ML, BK6
503301202156410, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 100 BOLS PVC TRANS FLEX SIST FECH X 100 ML, BK6
503301205155415, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 25 BOLS PVC TRANS FLEX SIST FECH X 100 ML, BK6
503301206151413, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 40 BOLS PVC TRANS FLEX SIST FECH X 100 ML, BK6
503301207158411, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 50 BOLS PVC TRANS FLEX SIST FECH X 100 ML, BK6
503301209150418, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 60 BOLS PVC TRANS FLEX SIST FECH X 100 ML, BK6
503301210159415, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 72 BOLS PVC TRANS FLEX SIST FECH X 100 ML, BK6
503301203152419, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 14 BOLS PVC TRANS FLEX SIST FECH X 1000 ML, BK6
503301211155413, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 90 BOLS PVC TRANS FLEX SIST FECH X 125 ML, BK6
503301208154411, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 50 BOLS PVC TRANS FLEX SIST FECH X 250 ML, BK6
503301204159417, CLORETO DE SÓDIO BEKER, CLORETO SODIO BEKER, NOT FOUND, 9 MG/ML SOL INJ CX 24 BOLS PVC TRANS FLEX SIST FECH X 500 ML, BK6
