505503601112417, DIAFURAN, DIAFURAN, NOT FOUND, 2 MG COMP CX C/12, CAZ
505504301163413, DORFLAN, DORFLAN, NOT FOUND, 1 PCC GEL TOP CT BG AL X 60 G, CAZ
505504402156412, DORGEN, DORGEN, NOT FOUND, 25 MG/ML SOL INJ CX C/ 5 AMP INC X 3 ML, CAZ
505504401117413, DORGEN, DORGEN, NOT FOUND, 50 MG COM CT BL AL PLAST INC X 20, CAZ
505512070020303, DANTALIN, DANTALIN, NOT FOUND, 100 MG COM CT BL AL PLAS TRANS X 100 (EMB HOSP), CAZ
505503301119416, DANTALIN, DANTALIN, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 25, CAZ
505512070020203, DANTALIN, DANTALIN, NOT FOUND, 100 MG COM CT BL AL PLAS TRANS X 30, CAZ
505512070020403, DANTALIN, DANTALIN, NOT FOUND, 100 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP), CAZ
505503801111414, DIUREZIN, DIUREZIN, NOT FOUND, 25 MG COM CT ENV KRAFT POLIET X 20, CAZ
505512060019803, DIUREZIN, DIUREZIN, NOT FOUND, 25 MG COM CT ENV PAP PLAS X 30, CAZ
505512060019903, DIUREZIN, DIUREZIN, NOT FOUND, 25 MG COM CT ENV PAP PLAS X 500 (EMB HOSP), CAZ
505503802118412, DIUREZIN, DIUREZIN, NOT FOUND, 50 MG COMP CX CT 2 ENV KRAFT X 10, CAZ
505512060020003, DIUREZIN, DIUREZIN, NOT FOUND, 50 MG COM CT ENV PAP PLAS X 30, CAZ
505512060020103, DIUREZIN, DIUREZIN, NOT FOUND, 50 MG COM CT ENV PAP PLAS X 500 (EMB HOSP), CAZ
505504101113412, DIUREZIN - E, DIUREZIN E, NOT FOUND, 25 MG COM CX C/ 42, CAZ
505503401164413, DERMOBAN, DERMOBAN, NOT FOUND, 20MG/G CREM DERM CT BG AL X 15G, CAZ
505504206111428, DORFEN, DORFEN, NOT FOUND, 160 MG CX C/ 12 CPDS, CAZ
505504201118424, DORFEN, DORFEN, NOT FOUND, 160 MG COMP MAST CT BL AL PLAS INC X 24, CAZ
505504202130428, DORFEN, DORFEN, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, CAZ
505504203137426, DORFEN, DORFEN, NOT FOUND, 32MG/ML SUS OR CT FR PLAS OPC X 60 ML + COPO MEDID, CAZ
505504204117429, DORFEN, DORFEN, NOT FOUND, 500 MG COM CT 50 STS X 4, CAZ
505504205113427, DORFEN, DORFEN, NOT FOUND, 750 MG COMP CT 50 STR X 4, CAZ
505504207116423, DORFEN, DORFEN, NOT FOUND, 80 MG COM MAST CT BL AL PLAS INC X 12, CAZ
