505515602119117, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 100, CAZ
505515601112119, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 25, CAZ
505515201130411, FISIORINUS, FISIORINUS, NOT FOUND, 9 MG + 0.1 MG/ML SOL NAS FR PLAST TRANS GOT X 30 ML, CAZ
505505001112412, FLAZ-CORT, FLAZ CORT, NOT FOUND, 6 MG COMP CT ENV AL POLIET X 20, CAZ
505505201111411, FLOXINA, FLOXINA, NOT FOUND, 200 MG COM CT ENV KRAFT POLI X 10, CAZ
505505301116413, FLUCOZEN, FLUCOZEN, NOT FOUND, 100 MG CAP GEL DURA CT ENV AL POLIET X 8, CAZ
505505302112411, FLUCOZEN, FLUCOZEN, NOT FOUND, 150 MG CAP GEL DURA CT ENV AL POLIET X 1, CAZ
505505401110417, FLUZIX, FLUZIX, NOT FOUND, 10 MG COMP CT ENV KRAFT POLIET X 30, CAZ
505515401113413, FOLINIUM, FOLINIUM, NOT FOUND, 15 MG COM CT FR VD AMB X 10, CAZ
505505501115410, FORT E, FORT E, NOT FOUND, 100 MG CAP GEL MOLE CT FR PLAS OPC X 100, CAZ
505505502111419, FORT E, FORT E, NOT FOUND, 100 MG CAP GEL MOLE CT FR PLAS OPC X 30, CAZ
505515602119117, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 100, CAZ
505515601112119, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 25, CAZ
505515201130411, FISIORINUS, FISIORINUS, NOT FOUND, 9 MG + 0.1 MG/ML SOL NAS FR PLAST TRANS GOT X 30 ML, CAZ
505505001112412, FLAZ-CORT, FLAZ CORT, NOT FOUND, 6 MG COMP CT ENV AL POLIET X 20, CAZ
505505201111411, FLOXINA, FLOXINA, NOT FOUND, 200 MG COM CT ENV KRAFT POLI X 10, CAZ
505505301116413, FLUCOZEN, FLUCOZEN, NOT FOUND, 100 MG CAP GEL DURA CT ENV AL POLIET X 8, CAZ
505505302112411, FLUCOZEN, FLUCOZEN, NOT FOUND, 150 MG CAP GEL DURA CT ENV AL POLIET X 1, CAZ
505505401110417, FLUZIX, FLUZIX, NOT FOUND, 10 MG COMP CT ENV KRAFT POLIET X 30, CAZ
505515401113413, FOLINIUM, FOLINIUM, NOT FOUND, 15 MG COM CT FR VD AMB X 10, CAZ
505515602119117, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 100, CAZ
505515601112119, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 25, CAZ
505515201130411, FISIORINUS, FISIORINUS, NOT FOUND, 9 MG + 0.1 MG/ML SOL NAS FR PLAST TRANS GOT X 30 ML, CAZ
505505001112412, FLAZ-CORT, FLAZ CORT, NOT FOUND, 6 MG COMP CT ENV AL POLIET X 20, CAZ
505505201111411, FLOXINA, FLOXINA, NOT FOUND, 200 MG COM CT ENV KRAFT POLI X 10, CAZ
505505301116413, FLUCOZEN, FLUCOZEN, NOT FOUND, 100 MG CAP GEL DURA CT ENV AL POLIET X 8, CAZ
505505302112411, FLUCOZEN, FLUCOZEN, NOT FOUND, 150 MG CAP GEL DURA CT ENV AL POLIET X 1, CAZ
505505401110417, FLUZIX, FLUZIX, NOT FOUND, 10 MG COMP CT ENV KRAFT POLIET X 30, CAZ
505515401113413, FOLINIUM, FOLINIUM, NOT FOUND, 15 MG COM CT FR VD AMB X 10, CAZ
505515602119117, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 100, CAZ
505515601112119, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 25, CAZ
505515201130411, FISIORINUS, FISIORINUS, NOT FOUND, 9 MG + 0.1 MG/ML SOL NAS FR PLAST TRANS GOT X 30 ML, CAZ
505505001112412, FLAZ-CORT, FLAZ CORT, NOT FOUND, 6 MG COMP CT ENV AL POLIET X 20, CAZ
505505201111411, FLOXINA, FLOXINA, NOT FOUND, 200 MG COM CT ENV KRAFT POLI X 10, CAZ
505505301116413, FLUCOZEN, FLUCOZEN, NOT FOUND, 100 MG CAP GEL DURA CT ENV AL POLIET X 8, CAZ
505505302112411, FLUCOZEN, FLUCOZEN, NOT FOUND, 150 MG CAP GEL DURA CT ENV AL POLIET X 1, CAZ
505505401110417, FLUZIX, FLUZIX, NOT FOUND, 10 MG COMP CT ENV KRAFT POLIET X 30, CAZ
505515401113413, FOLINIUM, FOLINIUM, NOT FOUND, 15 MG COM CT FR VD AMB X 10, CAZ
505515602119117, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 100, CAZ
505515601112119, FENITOÍNA , FENITOINA, FENITOINA, 100 MG COM CT BL AL PLAS INC X 25, CAZ
